,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/3/20,1,7.0,
1,3/4/20,5,10.0,
2,3/5/20,3,15.0,
3,3/6/20,7,11.0,
4,3/7/20,7,10.0,
5,3/8/20,21,15.0,
6,3/9/20,57,36.0,
7,3/10/20,70,47.0,
8,3/11/20,155,70.0,1.0
9,3/12/20,358,76.0,1.0
10,3/13/20,622,138.0,
11,3/14/20,645,155.0,2.0
12,3/15/20,1031,187.0,6.0
13,3/16/20,2108,303.0,9.0
14,3/17/20,2393,341.0,7.0
15,3/18/20,2933,443.0,21.0
16,3/19/20,3660,537.0,25.0
17,3/20/20,3959,633.0,46.0
18,3/21/20,2594,668.0,40.0
19,3/22/20,2546,707.0,48.0
20,3/23/20,3485,1017.0,81.0
21,3/24/20,4372,1129.0,92.0
22,3/25/20,4710,1264.0,120.0
23,3/26/20,4876,1370.0,185.0
24,3/27/20,4966,1343.0,205.0
25,3/28/20,3359,1258.0,256.0
26,3/29/20,3426,1357.0,274.0
27,3/30/20,5986,1631.0,300.0
28,3/31/20,5145,1471.0,356.0
29,4/1/20,4903,1442.0,401.0
30,4/2/20,5541,1621.0,433.0
31,4/3/20,5404,1631.0,441.0
32,4/4/20,3682,1365.0,446.0
33,4/5/20,3572,1348.0,504.0
34,4/6/20,6155,1622.0,510.0
35,4/7/20,5821,1386.0,529.0
36,4/8/20,5337,1325.0,459.0
37,4/9/20,4805,1051.0,431.0
38,4/10/20,4170,961.0,412.0
39,4/11/20,3404,749.0,393.0
40,4/12/20,2529,714.0,402.0
41,4/13/20,2785,804.0,385.0
42,4/14/20,3277,663.0,311.0
43,4/15/20,2745,540.0,261.0
44,4/16/20,1573,218.0,196.0
45,4/17/20,560,29.0,94.0
46,4/18/20,23,,23.0
