,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,13.0,
1,3/3/20,3,10.0,
2,3/4/20,10,13.0,
3,3/5/20,2,18.0,
4,3/6/20,8,17.0,
5,3/7/20,14,9.0,
6,3/8/20,20,15.0,
7,3/9/20,53,35.0,
8,3/10/20,75,49.0,
9,3/11/20,156,73.0,1.0
10,3/12/20,358,75.0,1.0
11,3/13/20,621,138.0,
12,3/14/20,642,151.0,2.0
13,3/15/20,1027,186.0,6.0
14,3/16/20,2106,305.0,9.0
15,3/17/20,2388,345.0,7.0
16,3/18/20,2893,438.0,21.0
17,3/19/20,3577,517.0,25.0
18,3/20/20,3818,609.0,45.0
19,3/21/20,2477,647.0,36.0
20,3/22/20,2413,687.0,45.0
21,3/23/20,3287,981.0,80.0
22,3/24/20,4133,1049.0,90.0
23,3/25/20,4488,1215.0,112.0
24,3/26/20,4627,1319.0,170.0
25,3/27/20,4680,1283.0,183.0
26,3/28/20,3137,1227.0,232.0
27,3/29/20,3184,1290.0,252.0
28,3/30/20,5633,1562.0,275.0
29,3/31/20,4922,1437.0,324.0
30,4/1/20,4684,1439.0,363.0
31,4/2/20,5206,1617.0,392.0
32,4/3/20,4899,1627.0,410.0
33,4/4/20,3230,1340.0,398.0
34,4/5/20,3184,1290.0,447.0
35,4/6/20,5024,1394.0,427.0
36,4/7/20,3876,913.0,419.0
37,4/8/20,2507,368.0,321.0
38,4/9/20,967,3.0,238.0
39,4/10/20,74,,32.0
