,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,13.0,
1,3/3/20,3,9.0,
2,3/4/20,10,13.0,
3,3/5/20,2,18.0,
4,3/6/20,8,17.0,
5,3/7/20,14,9.0,
6,3/8/20,20,15.0,
7,3/9/20,53,35.0,
8,3/10/20,75,49.0,
9,3/11/20,156,73.0,1.0
10,3/12/20,358,75.0,1.0
11,3/13/20,621,138.0,
12,3/14/20,642,151.0,2.0
13,3/15/20,1027,186.0,6.0
14,3/16/20,2106,305.0,9.0
15,3/17/20,2388,346.0,7.0
16,3/18/20,2894,438.0,21.0
17,3/19/20,3578,518.0,25.0
18,3/20/20,3818,609.0,45.0
19,3/21/20,2477,648.0,36.0
20,3/22/20,2413,692.0,45.0
21,3/23/20,3287,981.0,80.0
22,3/24/20,4133,1053.0,90.0
23,3/25/20,4495,1219.0,112.0
24,3/26/20,4637,1325.0,172.0
25,3/27/20,4685,1287.0,184.0
26,3/28/20,3143,1229.0,234.0
27,3/29/20,3184,1298.0,253.0
28,3/30/20,5638,1576.0,275.0
29,3/31/20,4928,1445.0,327.0
30,4/1/20,4708,1449.0,363.0
31,4/2/20,5273,1624.0,395.0
32,4/3/20,4945,1634.0,412.0
33,4/4/20,3287,1354.0,406.0
34,4/5/20,3285,1323.0,453.0
35,4/6/20,5466,1560.0,442.0
36,4/7/20,4279,1280.0,459.0
37,4/8/20,3290,934.0,364.0
38,4/9/20,2510,307.0,291.0
39,4/10/20,853,8.0,199.0
40,4/11/20,20,,29.0
