,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,3/3/20,2,7.0,
1,3/4/20,5,8.0,
2,3/5/20,3,13.0,
3,3/6/20,7,12.0,
4,3/7/20,7,10.0,
5,3/8/20,21,14.0,
6,3/9/20,57,36.0,
7,3/10/20,70,46.0,
8,3/11/20,153,70.0,1.0
9,3/12/20,355,74.0,1.0
10,3/13/20,618,135.0,
11,3/14/20,642,152.0,2.0
12,3/15/20,1028,187.0,6.0
13,3/16/20,2115,299.0,9.0
14,3/17/20,2446,339.0,7.0
15,3/18/20,2949,439.0,21.0
16,3/19/20,3678,533.0,24.0
17,3/20/20,3984,622.0,45.0
18,3/21/20,2600,663.0,41.0
19,3/22/20,2545,690.0,48.0
20,3/23/20,3502,1023.0,83.0
21,3/24/20,4388,1136.0,94.0
22,3/25/20,4734,1252.0,121.0
23,3/26/20,4925,1387.0,185.0
24,3/27/20,4990,1343.0,209.0
25,3/28/20,3386,1271.0,265.0
26,3/29/20,3438,1351.0,282.0
27,3/30/20,6015,1638.0,314.0
28,3/31/20,5167,1480.0,369.0
29,4/1/20,5023,1454.0,419.0
30,4/2/20,5643,1605.0,456.0
31,4/3/20,5516,1592.0,464.0
32,4/4/20,3752,1345.0,476.0
33,4/5/20,3614,1343.0,532.0
34,4/6/20,6211,1684.0,549.0
35,4/7/20,5923,1513.0,574.0
36,4/8/20,5404,1421.0,519.0
37,4/9/20,4868,1291.0,520.0
38,4/10/20,4240,1219.0,498.0
39,4/11/20,3566,995.0,504.0
40,4/12/20,2714,926.0,527.0
41,4/13/20,3212,1098.0,528.0
42,4/14/20,4055,968.0,482.0
43,4/15/20,3798,853.0,426.0
44,4/16/20,3453,689.0,380.0
45,4/17/20,3499,721.0,347.0
46,4/18/20,2079,521.0,347.0
47,4/19/20,2284,476.0,345.0
48,4/20/20,3712,539.0,322.0
49,4/21/20,3002,527.0,282.0
50,4/22/20,3414,434.0,282.0
51,4/23/20,2785,369.0,281.0
52,4/24/20,2397,356.0,264.0
53,4/25/20,1514,272.0,208.0
54,4/26/20,983,246.0,206.0
55,4/27/20,2223,316.0,207.0
56,4/28/20,2632,287.0,168.0
57,4/29/20,2229,210.0,153.0
58,4/30/20,1878,154.0,130.0
59,5/1/20,1618,198.0,108.0
60,5/2/20,922,135.0,93.0
61,5/3/20,557,118.0,61.0
62,5/4/20,711,46.0,38.0
63,5/5/20,21,,6.0
