,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,3/3/20,2,7,
1,3/4/20,5,10,
2,3/5/20,3,14,
3,3/6/20,7,11,
4,3/7/20,7,10,
5,3/8/20,21,15,
6,3/9/20,57,36,
7,3/10/20,70,46,
8,3/11/20,153,70,1.0
9,3/12/20,355,74,1.0
10,3/13/20,617,134,
11,3/14/20,639,151,2.0
12,3/15/20,1024,186,6.0
13,3/16/20,2112,298,9.0
14,3/17/20,2440,338,7.0
15,3/18/20,2944,440,21.0
16,3/19/20,3670,532,24.0
17,3/20/20,3975,618,45.0
18,3/21/20,2597,661,41.0
19,3/22/20,2543,694,48.0
20,3/23/20,3493,1022,81.0
21,3/24/20,4380,1136,92.0
22,3/25/20,4717,1254,121.0
23,3/26/20,4900,1379,185.0
24,3/27/20,4975,1339,207.0
25,3/28/20,3372,1277,264.0
26,3/29/20,3427,1366,278.0
27,3/30/20,5991,1647,307.0
28,3/31/20,5152,1500,364.0
29,4/1/20,5007,1463,413.0
30,4/2/20,5630,1628,448.0
31,4/3/20,5491,1628,459.0
32,4/4/20,3741,1390,470.0
33,4/5/20,3597,1379,526.0
34,4/6/20,6202,1731,540.0
35,4/7/20,5896,1558,560.0
36,4/8/20,5388,1472,507.0
37,4/9/20,4850,1239,511.0
38,4/10/20,4210,1169,483.0
39,4/11/20,3544,939,485.0
40,4/12/20,2700,898,502.0
41,4/13/20,3204,1049,497.0
42,4/14/20,4042,925,462.0
43,4/15/20,3770,810,401.0
44,4/16/20,3425,643,350.0
45,4/17/20,3475,689,319.0
46,4/18/20,2068,499,316.0
47,4/19/20,2270,458,305.0
48,4/20/20,3655,514,292.0
49,4/21/20,2920,509,245.0
50,4/22/20,3319,416,239.0
51,4/23/20,2596,324,231.0
52,4/24/20,2167,292,198.0
53,4/25/20,1163,175,144.0
54,4/26/20,807,101,123.0
55,4/27/20,1060,24,64.0
56,4/28/20,19,1,7.0
