,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/3/20,1,6.0,
1,3/4/20,5,10.0,
2,3/5/20,3,13.0,
3,3/6/20,7,11.0,
4,3/7/20,7,10.0,
5,3/8/20,21,15.0,
6,3/9/20,57,35.0,
7,3/10/20,70,46.0,
8,3/11/20,153,70.0,1.0
9,3/12/20,355,75.0,1.0
10,3/13/20,616,136.0,
11,3/14/20,636,151.0,2.0
12,3/15/20,1023,188.0,6.0
13,3/16/20,2111,299.0,9.0
14,3/17/20,2439,339.0,7.0
15,3/18/20,2946,442.0,21.0
16,3/19/20,3667,536.0,25.0
17,3/20/20,3975,625.0,46.0
18,3/21/20,2598,665.0,41.0
19,3/22/20,2543,697.0,48.0
20,3/23/20,3496,1028.0,81.0
21,3/24/20,4380,1144.0,92.0
22,3/25/20,4720,1265.0,121.0
23,3/26/20,4894,1386.0,185.0
24,3/27/20,4979,1355.0,207.0
25,3/28/20,3370,1279.0,262.0
26,3/29/20,3429,1369.0,278.0
27,3/30/20,5990,1656.0,303.0
28,3/31/20,5154,1509.0,362.0
29,4/1/20,5006,1476.0,405.0
30,4/2/20,5627,1639.0,445.0
31,4/3/20,5487,1640.0,455.0
32,4/4/20,3741,1396.0,466.0
33,4/5/20,3594,1408.0,523.0
34,4/6/20,6201,1736.0,529.0
35,4/7/20,5893,1568.0,552.0
36,4/8/20,5382,1494.0,492.0
37,4/9/20,4846,1255.0,498.0
38,4/10/20,4208,1173.0,474.0
39,4/11/20,3544,945.0,471.0
40,4/12/20,2701,905.0,487.0
41,4/13/20,3203,1027.0,480.0
42,4/14/20,4033,917.0,434.0
43,4/15/20,3729,727.0,369.0
44,4/16/20,3394,549.0,316.0
45,4/17/20,3421,575.0,289.0
46,4/18/20,2049,365.0,270.0
47,4/19/20,2240,363.0,249.0
48,4/20/20,3490,377.0,223.0
49,4/21/20,2377,325.0,162.0
50,4/22/20,2236,144.0,107.0
51,4/23/20,504,25.0,76.0
52,4/24/20,23,,11.0
