,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/3/20,1,6.0,
1,3/4/20,5,10.0,
2,3/5/20,3,15.0,
3,3/6/20,7,11.0,
4,3/7/20,7,10.0,
5,3/8/20,21,15.0,
6,3/9/20,57,36.0,
7,3/10/20,70,46.0,
8,3/11/20,153,71.0,1.0
9,3/12/20,355,76.0,1.0
10,3/13/20,616,137.0,
11,3/14/20,636,152.0,2.0
12,3/15/20,1023,188.0,6.0
13,3/16/20,2111,299.0,9.0
14,3/17/20,2440,343.0,7.0
15,3/18/20,2945,443.0,21.0
16,3/19/20,3667,536.0,25.0
17,3/20/20,3975,626.0,46.0
18,3/21/20,2598,668.0,41.0
19,3/22/20,2543,700.0,48.0
20,3/23/20,3493,1026.0,81.0
21,3/24/20,4379,1136.0,92.0
22,3/25/20,4718,1266.0,121.0
23,3/26/20,4891,1377.0,185.0
24,3/27/20,4975,1347.0,207.0
25,3/28/20,3369,1265.0,262.0
26,3/29/20,3427,1364.0,278.0
27,3/30/20,5989,1645.0,303.0
28,3/31/20,5154,1495.0,362.0
29,4/1/20,5003,1452.0,405.0
30,4/2/20,5626,1637.0,444.0
31,4/3/20,5481,1629.0,453.0
32,4/4/20,3739,1379.0,464.0
33,4/5/20,3594,1377.0,521.0
34,4/6/20,6198,1688.0,527.0
35,4/7/20,5877,1515.0,550.0
36,4/8/20,5379,1435.0,491.0
37,4/9/20,4845,1159.0,493.0
38,4/10/20,4208,1105.0,468.0
39,4/11/20,3538,880.0,463.0
40,4/12/20,2701,851.0,480.0
41,4/13/20,3200,970.0,473.0
42,4/14/20,4022,875.0,417.0
43,4/15/20,3716,684.0,358.0
44,4/16/20,3360,517.0,311.0
45,4/17/20,3386,504.0,283.0
46,4/18/20,1938,303.0,263.0
47,4/19/20,2138,203.0,243.0
48,4/20/20,2806,131.0,216.0
49,4/21/20,1212,90.0,158.0
50,4/22/20,470,21.0,78.0
51,4/23/20,72,,12.0
