,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,1.0,
1,3/3/20,2,5.0,
2,3/4/20,9,3.0,
3,3/5/20,2,4.0,
4,3/6/20,8,5.0,
5,3/7/20,11,10.0,
6,3/8/20,20,17.0,
7,3/9/20,53,27.0,
8,3/10/20,70,40.0,
9,3/11/20,156,50.0,1.0
10,3/12/20,354,74.0,
11,3/13/20,606,121.0,
12,3/14/20,623,156.0,2.0
13,3/15/20,1003,189.0,5.0
14,3/16/20,2016,299.0,9.0
15,3/17/20,2304,330.0,7.0
16,3/18/20,2677,377.0,20.0
17,3/19/20,3362,501.0,22.0
18,3/20/20,3622,578.0,42.0
19,3/21/20,2114,523.0,32.0
20,3/22/20,1971,527.0,44.0
21,3/23/20,2942,695.0,73.0
22,3/24/20,3036,638.0,72.0
23,3/25/20,2940,698.0,98.0
24,3/26/20,3006,702.0,121.0
25,3/27/20,2846,671.0,120.0
26,3/28/20,1717,423.0,122.0
27,3/29/20,590,68.0,94.0
28,3/30/20,24,,14.0
