,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/3/20,1,6.0,
1,3/4/20,5,10.0,
2,3/5/20,3,15.0,
3,3/6/20,7,11.0,
4,3/7/20,7,10.0,
5,3/8/20,21,15.0,
6,3/9/20,57,36.0,
7,3/10/20,70,47.0,
8,3/11/20,153,71.0,1.0
9,3/12/20,355,76.0,1.0
10,3/13/20,616,138.0,
11,3/14/20,636,155.0,2.0
12,3/15/20,1023,187.0,6.0
13,3/16/20,2105,300.0,9.0
14,3/17/20,2390,343.0,7.0
15,3/18/20,2937,443.0,21.0
16,3/19/20,3660,537.0,25.0
17,3/20/20,3962,631.0,46.0
18,3/21/20,2594,668.0,41.0
19,3/22/20,2544,705.0,48.0
20,3/23/20,3489,1014.0,81.0
21,3/24/20,4379,1129.0,92.0
22,3/25/20,4714,1263.0,121.0
23,3/26/20,4887,1370.0,185.0
24,3/27/20,4976,1338.0,206.0
25,3/28/20,3368,1259.0,261.0
26,3/29/20,3426,1355.0,277.0
27,3/30/20,5990,1632.0,303.0
28,3/31/20,5152,1464.0,362.0
29,4/1/20,4997,1443.0,402.0
30,4/2/20,5627,1618.0,441.0
31,4/3/20,5475,1627.0,449.0
32,4/4/20,3739,1360.0,463.0
33,4/5/20,3592,1351.0,517.0
34,4/6/20,6195,1629.0,523.0
35,4/7/20,5868,1382.0,546.0
36,4/8/20,5376,1321.0,474.0
37,4/9/20,4843,1070.0,481.0
38,4/10/20,4206,993.0,453.0
39,4/11/20,3535,762.0,448.0
40,4/12/20,2698,753.0,455.0
41,4/13/20,3185,878.0,453.0
42,4/14/20,4000,779.0,389.0
43,4/15/20,3654,633.0,335.0
44,4/16/20,3213,475.0,274.0
45,4/17/20,3100,482.0,268.0
46,4/18/20,1585,295.0,246.0
47,4/19/20,1602,190.0,221.0
48,4/20/20,1309,79.0,185.0
49,4/21/20,405,26.0,76.0
50,4/22/20,19,,15.0
