,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,12.0,
1,3/3/20,3,7.0,
2,3/4/20,10,10.0,
3,3/5/20,2,15.0,
4,3/6/20,8,11.0,
5,3/7/20,14,9.0,
6,3/8/20,21,15.0,
7,3/9/20,54,36.0,
8,3/10/20,75,47.0,
9,3/11/20,157,71.0,1.0
10,3/12/20,358,74.0,1.0
11,3/13/20,622,138.0,
12,3/14/20,645,154.0,2.0
13,3/15/20,1028,188.0,6.0
14,3/16/20,2106,302.0,9.0
15,3/17/20,2392,341.0,7.0
16,3/18/20,2929,434.0,21.0
17,3/19/20,3653,512.0,25.0
18,3/20/20,3957,608.0,46.0
19,3/21/20,2589,641.0,39.0
20,3/22/20,2542,680.0,45.0
21,3/23/20,3475,981.0,81.0
22,3/24/20,4367,1056.0,92.0
23,3/25/20,4704,1219.0,115.0
24,3/26/20,4869,1310.0,178.0
25,3/27/20,4952,1267.0,198.0
26,3/28/20,3348,1222.0,247.0
27,3/29/20,3423,1302.0,263.0
28,3/30/20,5961,1550.0,287.0
29,3/31/20,5133,1432.0,342.0
30,4/1/20,4885,1431.0,383.0
31,4/2/20,5528,1619.0,411.0
32,4/3/20,5389,1618.0,429.0
33,4/4/20,3657,1355.0,434.0
34,4/5/20,3549,1340.0,488.0
35,4/6/20,6088,1606.0,490.0
36,4/7/20,5654,1360.0,509.0
37,4/8/20,5101,1279.0,430.0
38,4/9/20,4104,991.0,391.0
39,4/10/20,3743,890.0,353.0
40,4/11/20,2407,616.0,329.0
41,4/12/20,1374,357.0,303.0
42,4/13/20,1836,152.0,279.0
43,4/14/20,816,29.0,152.0
44,4/15/20,34,,13.0
