,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/3/20,2,7.0,
1,3/4/20,5,10.0,
2,3/5/20,3,14.0,
3,3/6/20,7,11.0,
4,3/7/20,7,10.0,
5,3/8/20,21,15.0,
6,3/9/20,57,36.0,
7,3/10/20,70,46.0,
8,3/11/20,153,70.0,1.0
9,3/12/20,355,75.0,1.0
10,3/13/20,617,136.0,
11,3/14/20,639,151.0,2.0
12,3/15/20,1025,188.0,6.0
13,3/16/20,2112,299.0,9.0
14,3/17/20,2439,339.0,7.0
15,3/18/20,2946,442.0,21.0
16,3/19/20,3668,536.0,25.0
17,3/20/20,3974,624.0,46.0
18,3/21/20,2597,665.0,41.0
19,3/22/20,2542,696.0,48.0
20,3/23/20,3492,1028.0,81.0
21,3/24/20,4378,1139.0,92.0
22,3/25/20,4715,1265.0,121.0
23,3/26/20,4896,1389.0,185.0
24,3/27/20,4976,1354.0,205.0
25,3/28/20,3369,1279.0,263.0
26,3/29/20,3426,1368.0,277.0
27,3/30/20,5989,1654.0,306.0
28,3/31/20,5152,1509.0,365.0
29,4/1/20,5006,1472.0,411.0
30,4/2/20,5628,1639.0,445.0
31,4/3/20,5486,1640.0,456.0
32,4/4/20,3741,1396.0,463.0
33,4/5/20,3596,1402.0,520.0
34,4/6/20,6198,1734.0,538.0
35,4/7/20,5892,1568.0,556.0
36,4/8/20,5387,1493.0,502.0
37,4/9/20,4845,1257.0,505.0
38,4/10/20,4208,1175.0,478.0
39,4/11/20,3544,946.0,479.0
40,4/12/20,2701,903.0,494.0
41,4/13/20,3203,1028.0,488.0
42,4/14/20,4037,919.0,453.0
43,4/15/20,3763,727.0,386.0
44,4/16/20,3407,567.0,338.0
45,4/17/20,3431,576.0,308.0
46,4/18/20,2059,405.0,301.0
47,4/19/20,2258,384.0,292.0
48,4/20/20,3630,408.0,275.0
49,4/21/20,2883,388.0,226.0
50,4/22/20,3255,301.0,217.0
51,4/23/20,2360,131.0,201.0
52,4/24/20,1625,60.0,145.0
53,4/25/20,300,10.0,57.0
54,4/26/20,23,,7.0
