,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,3.0,
1,3/3/20,2,2.0,
2,3/4/20,10,4.0,
3,3/5/20,2,4.0,
4,3/6/20,8,5.0,
5,3/7/20,13,9.0,
6,3/8/20,20,12.0,
7,3/9/20,53,24.0,
8,3/10/20,70,38.0,
9,3/11/20,156,56.0,1.0
10,3/12/20,356,62.0,
11,3/13/20,611,121.0,
12,3/14/20,627,147.0,2.0
13,3/15/20,1004,189.0,5.0
14,3/16/20,2028,301.0,9.0
15,3/17/20,2320,324.0,7.0
16,3/18/20,2755,393.0,21.0
17,3/19/20,3441,481.0,23.0
18,3/20/20,3655,549.0,43.0
19,3/21/20,2133,545.0,33.0
20,3/22/20,2007,566.0,44.0
21,3/23/20,3014,768.0,75.0
22,3/24/20,3411,729.0,78.0
23,3/25/20,3705,787.0,102.0
24,3/26/20,3497,815.0,139.0
25,3/27/20,3369,820.0,148.0
26,3/28/20,2215,678.0,158.0
27,3/29/20,2369,739.0,166.0
28,3/30/20,3531,781.0,160.0
29,3/31/20,2192,500.0,180.0
30,4/1/20,1047,117.0,145.0
31,4/2/20,82,,13.0
