,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,12.0,
1,3/3/20,3,10.0,
2,3/4/20,10,13.0,
3,3/5/20,2,18.0,
4,3/6/20,8,17.0,
5,3/7/20,14,9.0,
6,3/8/20,20,15.0,
7,3/9/20,53,35.0,
8,3/10/20,75,49.0,
9,3/11/20,156,73.0,1.0
10,3/12/20,358,75.0,1.0
11,3/13/20,621,138.0,
12,3/14/20,643,151.0,2.0
13,3/15/20,1027,186.0,6.0
14,3/16/20,2106,305.0,9.0
15,3/17/20,2389,347.0,7.0
16,3/18/20,2895,437.0,21.0
17,3/19/20,3578,519.0,25.0
18,3/20/20,3818,610.0,45.0
19,3/21/20,2477,649.0,36.0
20,3/22/20,2414,691.0,45.0
21,3/23/20,3288,982.0,80.0
22,3/24/20,4133,1053.0,90.0
23,3/25/20,4494,1221.0,112.0
24,3/26/20,4638,1325.0,173.0
25,3/27/20,4689,1287.0,184.0
26,3/28/20,3148,1232.0,235.0
27,3/29/20,3186,1297.0,254.0
28,3/30/20,5642,1577.0,277.0
29,3/31/20,4931,1447.0,328.0
30,4/1/20,4717,1448.0,365.0
31,4/2/20,5431,1627.0,398.0
32,4/3/20,4982,1632.0,418.0
33,4/4/20,3567,1356.0,417.0
34,4/5/20,3394,1329.0,468.0
35,4/6/20,5872,1566.0,455.0
36,4/7/20,5254,1293.0,476.0
37,4/8/20,4049,957.0,396.0
38,4/9/20,3099,352.0,340.0
39,4/10/20,2390,117.0,295.0
40,4/11/20,741,5.0,191.0
41,4/12/20,92,,29.0
