,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,,
1,3/3/20,2,3.0,
2,3/4/20,9,3.0,
3,3/5/20,1,4.0,
4,3/6/20,8,5.0,
5,3/7/20,11,9.0,
6,3/8/20,20,14.0,
7,3/9/20,53,26.0,
8,3/10/20,69,40.0,
9,3/11/20,155,48.0,1.0
10,3/12/20,351,69.0,
11,3/13/20,603,119.0,
12,3/14/20,610,154.0,2.0
13,3/15/20,980,179.0,5.0
14,3/16/20,1936,288.0,9.0
15,3/17/20,2217,317.0,7.0
16,3/18/20,2431,350.0,17.0
17,3/19/20,2624,452.0,19.0
18,3/20/20,2765,530.0,38.0
19,3/21/20,1596,462.0,30.0
20,3/22/20,1402,437.0,39.0
21,3/23/20,2130,575.0,58.0
22,3/24/20,1967,518.0,57.0
23,3/25/20,1119,108.0,68.0
24,3/26/20,49,2.0,14.0
