,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/3/20,2,7.0,
1,3/4/20,5,10.0,
2,3/5/20,3,14.0,
3,3/6/20,7,11.0,
4,3/7/20,7,10.0,
5,3/8/20,21,15.0,
6,3/9/20,57,36.0,
7,3/10/20,70,46.0,
8,3/11/20,153,70.0,1.0
9,3/12/20,355,75.0,1.0
10,3/13/20,617,136.0,
11,3/14/20,639,151.0,2.0
12,3/15/20,1025,188.0,6.0
13,3/16/20,2112,299.0,9.0
14,3/17/20,2439,339.0,7.0
15,3/18/20,2946,442.0,21.0
16,3/19/20,3667,536.0,25.0
17,3/20/20,3974,625.0,46.0
18,3/21/20,2597,666.0,41.0
19,3/22/20,2543,695.0,48.0
20,3/23/20,3494,1029.0,81.0
21,3/24/20,4379,1142.0,93.0
22,3/25/20,4719,1266.0,121.0
23,3/26/20,4892,1386.0,185.0
24,3/27/20,4978,1356.0,207.0
25,3/28/20,3368,1279.0,263.0
26,3/29/20,3428,1369.0,278.0
27,3/30/20,5990,1657.0,305.0
28,3/31/20,5154,1508.0,363.0
29,4/1/20,5006,1473.0,408.0
30,4/2/20,5628,1638.0,445.0
31,4/3/20,5486,1638.0,456.0
32,4/4/20,3742,1397.0,469.0
33,4/5/20,3597,1404.0,526.0
34,4/6/20,6202,1736.0,534.0
35,4/7/20,5892,1567.0,555.0
36,4/8/20,5387,1494.0,499.0
37,4/9/20,4845,1255.0,502.0
38,4/10/20,4208,1174.0,477.0
39,4/11/20,3544,945.0,476.0
40,4/12/20,2701,905.0,492.0
41,4/13/20,3203,1026.0,487.0
42,4/14/20,4037,918.0,445.0
43,4/15/20,3731,726.0,382.0
44,4/16/20,3405,552.0,334.0
45,4/17/20,3430,575.0,302.0
46,4/18/20,2060,365.0,295.0
47,4/19/20,2256,362.0,283.0
48,4/20/20,3620,381.0,264.0
49,4/21/20,2838,327.0,215.0
50,4/22/20,2978,159.0,192.0
51,4/23/20,1509,68.0,161.0
52,4/24/20,251,9.0,81.0
53,4/25/20,5,,10.0
