,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,1.0,
1,3/3/20,2,5.0,
2,3/4/20,9,3.0,
3,3/5/20,2,4.0,
4,3/6/20,8,5.0,
5,3/7/20,11,9.0,
6,3/8/20,20,18.0,
7,3/9/20,53,27.0,
8,3/10/20,70,36.0,
9,3/11/20,156,46.0,1.0
10,3/12/20,355,76.0,
11,3/13/20,607,117.0,
12,3/14/20,626,154.0,2.0
13,3/15/20,1004,184.0,5.0
14,3/16/20,2022,286.0,9.0
15,3/17/20,2311,315.0,7.0
16,3/18/20,2729,354.0,20.0
17,3/19/20,3393,473.0,22.0
18,3/20/20,3639,560.0,42.0
19,3/21/20,2120,509.0,32.0
20,3/22/20,1982,529.0,44.0
21,3/23/20,2976,702.0,73.0
22,3/24/20,3213,656.0,74.0
23,3/25/20,3209,721.0,99.0
24,3/26/20,3077,745.0,135.0
25,3/27/20,2960,769.0,130.0
26,3/28/20,2004,612.0,132.0
27,3/29/20,1915,554.0,136.0
28,3/30/20,1241,67.0,105.0
29,3/31/20,54,,23.0
