,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,11.0,
1,3/3/20,3,8.0,
2,3/4/20,10,9.0,
3,3/5/20,2,13.0,
4,3/6/20,8,10.0,
5,3/7/20,14,9.0,
6,3/8/20,20,14.0,
7,3/9/20,53,30.0,
8,3/10/20,75,43.0,
9,3/11/20,156,65.0,1.0
10,3/12/20,358,71.0,1.0
11,3/13/20,621,129.0,
12,3/14/20,642,153.0,2.0
13,3/15/20,1027,185.0,6.0
14,3/16/20,2106,304.0,9.0
15,3/17/20,2387,342.0,7.0
16,3/18/20,2893,423.0,21.0
17,3/19/20,3576,502.0,25.0
18,3/20/20,3812,570.0,45.0
19,3/21/20,2280,630.0,36.0
20,3/22/20,2200,669.0,45.0
21,3/23/20,3253,941.0,80.0
22,3/24/20,3929,990.0,90.0
23,3/25/20,4164,1159.0,112.0
24,3/26/20,4519,1239.0,170.0
25,3/27/20,4583,1213.0,183.0
26,3/28/20,3053,1104.0,230.0
27,3/29/20,3131,1188.0,249.0
28,3/30/20,5546,1399.0,269.0
29,3/31/20,4689,1230.0,323.0
30,4/1/20,4287,1162.0,349.0
31,4/2/20,5168,1221.0,368.0
32,4/3/20,4821,1214.0,374.0
33,4/4/20,3136,1018.0,357.0
34,4/5/20,3037,947.0,406.0
35,4/6/20,4237,864.0,364.0
36,4/7/20,2679,337.0,327.0
37,4/8/20,1161,23.0,221.0
38,4/9/20,82,,35.0
