,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,12.0,
1,3/3/20,3,7.0,
2,3/4/20,10,10.0,
3,3/5/20,2,15.0,
4,3/6/20,8,11.0,
5,3/7/20,14,10.0,
6,3/8/20,21,15.0,
7,3/9/20,54,35.0,
8,3/10/20,75,47.0,
9,3/11/20,157,70.0,1.0
10,3/12/20,358,75.0,1.0
11,3/13/20,622,138.0,
12,3/14/20,645,155.0,2.0
13,3/15/20,1029,187.0,6.0
14,3/16/20,2107,303.0,9.0
15,3/17/20,2392,341.0,7.0
16,3/18/20,2930,442.0,21.0
17,3/19/20,3659,537.0,25.0
18,3/20/20,3960,633.0,46.0
19,3/21/20,2592,669.0,40.0
20,3/22/20,2543,706.0,48.0
21,3/23/20,3482,1018.0,81.0
22,3/24/20,4369,1130.0,92.0
23,3/25/20,4707,1265.0,120.0
24,3/26/20,4874,1368.0,185.0
25,3/27/20,4964,1341.0,205.0
26,3/28/20,3350,1261.0,256.0
27,3/29/20,3426,1357.0,274.0
28,3/30/20,5979,1632.0,299.0
29,3/31/20,5143,1473.0,356.0
30,4/1/20,4895,1440.0,399.0
31,4/2/20,5540,1620.0,431.0
32,4/3/20,5399,1625.0,439.0
33,4/4/20,3679,1366.0,446.0
34,4/5/20,3567,1344.0,500.0
35,4/6/20,6143,1611.0,506.0
36,4/7/20,5763,1368.0,528.0
37,4/8/20,5290,1302.0,454.0
38,4/9/20,4759,1015.0,424.0
39,4/10/20,4104,925.0,396.0
40,4/11/20,3285,694.0,381.0
41,4/12/20,2400,625.0,382.0
42,4/13/20,2707,645.0,354.0
43,4/14/20,2787,312.0,279.0
44,4/15/20,1784,97.0,206.0
45,4/16/20,750,31.0,119.0
46,4/17/20,38,,14.0
