,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,12.0,
1,3/3/20,4,10.0,
2,3/4/20,10,13.0,
3,3/5/20,2,17.0,
4,3/6/20,8,17.0,
5,3/7/20,14,9.0,
6,3/8/20,20,15.0,
7,3/9/20,54,36.0,
8,3/10/20,75,48.0,
9,3/11/20,157,72.0,1.0
10,3/12/20,358,75.0,1.0
11,3/13/20,621,138.0,
12,3/14/20,643,151.0,2.0
13,3/15/20,1028,186.0,6.0
14,3/16/20,2106,301.0,9.0
15,3/17/20,2391,342.0,7.0
16,3/18/20,2895,435.0,21.0
17,3/19/20,3579,512.0,25.0
18,3/20/20,3819,604.0,45.0
19,3/21/20,2477,642.0,36.0
20,3/22/20,2414,679.0,45.0
21,3/23/20,3288,973.0,80.0
22,3/24/20,4134,1045.0,90.0
23,3/25/20,4495,1214.0,113.0
24,3/26/20,4638,1312.0,173.0
25,3/27/20,4691,1270.0,184.0
26,3/28/20,3160,1225.0,236.0
27,3/29/20,3206,1290.0,255.0
28,3/30/20,5650,1565.0,277.0
29,3/31/20,4937,1440.0,329.0
30,4/1/20,4723,1437.0,366.0
31,4/2/20,5460,1633.0,398.0
32,4/3/20,4999,1632.0,420.0
33,4/4/20,3615,1356.0,421.0
34,4/5/20,3433,1337.0,473.0
35,4/6/20,5957,1612.0,463.0
36,4/7/20,5424,1373.0,487.0
37,4/8/20,4639,1239.0,411.0
38,4/9/20,3405,855.0,358.0
39,4/10/20,2710,644.0,316.0
40,4/11/20,1392,190.0,264.0
41,4/12/20,562,5.0,195.0
42,4/13/20,66,,29.0
