,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,1,
1,3/3/20,2,4,
2,3/4/20,9,3,
3,3/5/20,2,4,
4,3/6/20,8,5,
5,3/7/20,11,8,
6,3/8/20,20,15,
7,3/9/20,53,26,
8,3/10/20,69,36,
9,3/11/20,156,42,1.0
10,3/12/20,351,68,
11,3/13/20,606,113,
12,3/14/20,617,146,2.0
13,3/15/20,988,175,5.0
14,3/16/20,1950,259,9.0
15,3/17/20,2237,281,7.0
16,3/18/20,2512,315,19.0
17,3/19/20,3164,430,19.0
18,3/20/20,2964,476,38.0
19,3/21/20,1726,410,31.0
20,3/22/20,1489,405,41.0
21,3/23/20,2285,598,63.0
22,3/24/20,2140,590,64.0
23,3/25/20,2367,524,75.0
24,3/26/20,936,95,54.0
25,3/27/20,32,2,20.0
