,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/3/20,1,6.0,
1,3/4/20,5,10.0,
2,3/5/20,3,15.0,
3,3/6/20,7,11.0,
4,3/7/20,7,10.0,
5,3/8/20,21,15.0,
6,3/9/20,57,36.0,
7,3/10/20,70,47.0,
8,3/11/20,153,71.0,1.0
9,3/12/20,355,76.0,1.0
10,3/13/20,616,138.0,
11,3/14/20,636,155.0,2.0
12,3/15/20,1023,187.0,6.0
13,3/16/20,2105,299.0,9.0
14,3/17/20,2390,343.0,7.0
15,3/18/20,2934,443.0,21.0
16,3/19/20,3661,537.0,25.0
17,3/20/20,3960,631.0,46.0
18,3/21/20,2594,668.0,41.0
19,3/22/20,2543,705.0,48.0
20,3/23/20,3488,1014.0,81.0
21,3/24/20,4378,1129.0,92.0
22,3/25/20,4713,1262.0,121.0
23,3/26/20,4881,1370.0,185.0
24,3/27/20,4975,1339.0,206.0
25,3/28/20,3368,1257.0,261.0
26,3/29/20,3425,1356.0,277.0
27,3/30/20,5988,1631.0,303.0
28,3/31/20,5150,1464.0,362.0
29,4/1/20,4993,1441.0,402.0
30,4/2/20,5615,1618.0,441.0
31,4/3/20,5473,1628.0,447.0
32,4/4/20,3739,1361.0,459.0
33,4/5/20,3590,1348.0,516.0
34,4/6/20,6194,1627.0,521.0
35,4/7/20,5866,1383.0,543.0
36,4/8/20,5372,1323.0,470.0
37,4/9/20,4836,1069.0,470.0
38,4/10/20,4204,990.0,445.0
39,4/11/20,3530,759.0,442.0
40,4/12/20,2668,752.0,447.0
41,4/13/20,3104,873.0,441.0
42,4/14/20,3885,778.0,378.0
43,4/15/20,3511,625.0,323.0
44,4/16/20,2964,462.0,263.0
45,4/17/20,2660,388.0,247.0
46,4/18/20,1205,165.0,219.0
47,4/19/20,870,26.0,177.0
48,4/20/20,608,9.0,96.0
49,4/21/20,40,,9.0
