,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,4.0,
1,3/3/20,2,3.0,
2,3/4/20,10,5.0,
3,3/5/20,2,4.0,
4,3/6/20,8,5.0,
5,3/7/20,13,9.0,
6,3/8/20,20,12.0,
7,3/9/20,53,24.0,
8,3/10/20,70,38.0,
9,3/11/20,156,56.0,1.0
10,3/12/20,356,62.0,
11,3/13/20,612,121.0,
12,3/14/20,628,147.0,2.0
13,3/15/20,1006,189.0,5.0
14,3/16/20,2032,301.0,9.0
15,3/17/20,2332,325.0,7.0
16,3/18/20,2786,393.0,21.0
17,3/19/20,3459,486.0,24.0
18,3/20/20,3696,553.0,43.0
19,3/21/20,2177,549.0,33.0
20,3/22/20,2048,572.0,44.0
21,3/23/20,3085,782.0,75.0
22,3/24/20,3508,759.0,81.0
23,3/25/20,3814,823.0,103.0
24,3/26/20,3916,840.0,149.0
25,3/27/20,3546,862.0,160.0
26,3/28/20,2361,715.0,182.0
27,3/29/20,2590,809.0,192.0
28,3/30/20,4042,896.0,191.0
29,3/31/20,3096,694.0,204.0
30,4/1/20,2761,567.0,181.0
31,4/2/20,2037,113.0,131.0
32,4/3/20,63,,21.0
