,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,12.0,
1,3/3/20,3,7.0,
2,3/4/20,10,10.0,
3,3/5/20,2,15.0,
4,3/6/20,8,11.0,
5,3/7/20,14,9.0,
6,3/8/20,21,15.0,
7,3/9/20,54,35.0,
8,3/10/20,75,47.0,
9,3/11/20,157,71.0,1.0
10,3/12/20,358,74.0,1.0
11,3/13/20,622,138.0,
12,3/14/20,645,155.0,2.0
13,3/15/20,1029,188.0,6.0
14,3/16/20,2106,303.0,9.0
15,3/17/20,2392,341.0,7.0
16,3/18/20,2928,442.0,21.0
17,3/19/20,3653,536.0,25.0
18,3/20/20,3958,633.0,46.0
19,3/21/20,2591,669.0,40.0
20,3/22/20,2542,706.0,46.0
21,3/23/20,3477,1018.0,81.0
22,3/24/20,4365,1127.0,92.0
23,3/25/20,4705,1264.0,119.0
24,3/26/20,4872,1367.0,184.0
25,3/27/20,4953,1337.0,203.0
26,3/28/20,3350,1260.0,253.0
27,3/29/20,3424,1358.0,274.0
28,3/30/20,5973,1628.0,295.0
29,3/31/20,5136,1470.0,355.0
30,4/1/20,4888,1440.0,396.0
31,4/2/20,5533,1618.0,427.0
32,4/3/20,5396,1623.0,436.0
33,4/4/20,3666,1361.0,443.0
34,4/5/20,3566,1343.0,496.0
35,4/6/20,6118,1616.0,499.0
36,4/7/20,5706,1371.0,519.0
37,4/8/20,5229,1294.0,443.0
38,4/9/20,4647,1014.0,409.0
39,4/10/20,3979,923.0,373.0
40,4/11/20,3113,685.0,350.0
41,4/12/20,2034,624.0,332.0
42,4/13/20,2214,628.0,314.0
43,4/14/20,1851,285.0,214.0
44,4/15/20,756,15.0,37.0
45,4/16/20,26,,
