,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,3/3/20,2,7.0,
1,3/4/20,5,8.0,
2,3/5/20,3,14.0,
3,3/6/20,7,12.0,
4,3/7/20,7,10.0,
5,3/8/20,21,14.0,
6,3/9/20,57,36.0,
7,3/10/20,70,46.0,
8,3/11/20,153,70.0,1.0
9,3/12/20,355,73.0,1.0
10,3/13/20,618,135.0,
11,3/14/20,642,151.0,2.0
12,3/15/20,1026,186.0,6.0
13,3/16/20,2114,299.0,9.0
14,3/17/20,2444,340.0,7.0
15,3/18/20,2947,437.0,21.0
16,3/19/20,3675,534.0,24.0
17,3/20/20,3979,621.0,45.0
18,3/21/20,2600,665.0,41.0
19,3/22/20,2545,694.0,48.0
20,3/23/20,3496,1025.0,83.0
21,3/24/20,4388,1138.0,93.0
22,3/25/20,4729,1257.0,121.0
23,3/26/20,4922,1390.0,185.0
24,3/27/20,4989,1351.0,209.0
25,3/28/20,3382,1278.0,265.0
26,3/29/20,3432,1366.0,281.0
27,3/30/20,6002,1648.0,313.0
28,3/31/20,5163,1502.0,367.0
29,4/1/20,5017,1464.0,417.0
30,4/2/20,5638,1624.0,453.0
31,4/3/20,5508,1627.0,462.0
32,4/4/20,3745,1387.0,472.0
33,4/5/20,3610,1384.0,530.0
34,4/6/20,6207,1731.0,545.0
35,4/7/20,5913,1564.0,570.0
36,4/8/20,5399,1470.0,514.0
37,4/9/20,4862,1244.0,516.0
38,4/10/20,4229,1177.0,490.0
39,4/11/20,3554,942.0,492.0
40,4/12/20,2707,900.0,520.0
41,4/13/20,3204,1051.0,512.0
42,4/14/20,4049,928.0,468.0
43,4/15/20,3789,803.0,413.0
44,4/16/20,3438,646.0,370.0
45,4/17/20,3486,691.0,330.0
46,4/18/20,2076,501.0,330.0
47,4/19/20,2279,466.0,322.0
48,4/20/20,3688,517.0,303.0
49,4/21/20,2977,517.0,261.0
50,4/22/20,3392,424.0,265.0
51,4/23/20,2674,369.0,262.0
52,4/24/20,2265,352.0,230.0
53,4/25/20,1231,264.0,182.0
54,4/26/20,900,235.0,165.0
55,4/27/20,2060,290.0,149.0
56,4/28/20,2120,170.0,93.0
57,4/29/20,700,20.0,56.0
58,4/30/20,11,,6.0
