,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/3/20,1,7.0,
1,3/4/20,5,10.0,
2,3/5/20,3,15.0,
3,3/6/20,7,11.0,
4,3/7/20,7,10.0,
5,3/8/20,21,15.0,
6,3/9/20,57,36.0,
7,3/10/20,70,47.0,
8,3/11/20,153,70.0,1.0
9,3/12/20,355,76.0,1.0
10,3/13/20,616,138.0,
11,3/14/20,636,155.0,2.0
12,3/15/20,1023,187.0,6.0
13,3/16/20,2104,302.0,9.0
14,3/17/20,2389,341.0,7.0
15,3/18/20,2934,443.0,21.0
16,3/19/20,3660,537.0,25.0
17,3/20/20,3960,632.0,46.0
18,3/21/20,2594,668.0,40.0
19,3/22/20,2543,707.0,48.0
20,3/23/20,3489,1015.0,81.0
21,3/24/20,4373,1129.0,92.0
22,3/25/20,4712,1264.0,120.0
23,3/26/20,4879,1370.0,185.0
24,3/27/20,4970,1344.0,206.0
25,3/28/20,3363,1258.0,256.0
26,3/29/20,3425,1358.0,274.0
27,3/30/20,5987,1632.0,300.0
28,3/31/20,5148,1469.0,358.0
29,4/1/20,4910,1445.0,401.0
30,4/2/20,5542,1620.0,435.0
31,4/3/20,5411,1631.0,441.0
32,4/4/20,3686,1364.0,450.0
33,4/5/20,3574,1347.0,506.0
34,4/6/20,6155,1623.0,513.0
35,4/7/20,5830,1385.0,533.0
36,4/8/20,5341,1324.0,459.0
37,4/9/20,4826,1051.0,436.0
38,4/10/20,4182,962.0,417.0
39,4/11/20,3467,748.0,401.0
40,4/12/20,2600,715.0,409.0
41,4/13/20,2974,803.0,393.0
42,4/14/20,3586,663.0,326.0
43,4/15/20,3015,541.0,280.0
44,4/16/20,2107,221.0,226.0
45,4/17/20,1389,86.0,175.0
46,4/18/20,377,18.0,99.0
47,4/19/20,8,,18.0
