,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-09T00:00:00.000,Alexandria,2964,278,60
1,2020-08-09T00:00:00.000,Alleghany,963,45,18
2,2020-08-09T00:00:00.000,Arlington,3077,437,135
3,2020-08-09T00:00:00.000,Central Shenandoah,2775,214,59
4,2020-08-09T00:00:00.000,Central Virginia,1449,62,14
5,2020-08-09T00:00:00.000,Chesapeake,2912,230,37
6,2020-08-09T00:00:00.000,Chesterfield,4706,259,105
7,2020-08-09T00:00:00.000,Chickahominy,987,133,45
8,2020-08-09T00:00:00.000,Crater,2401,218,70
9,2020-08-09T00:00:00.000,Cumberland Plateau,353,26,3
10,2020-08-09T00:00:00.000,Eastern Shore,1396,128,45
11,2020-08-09T00:00:00.000,Fairfax,16524,1957,542
12,2020-08-09T00:00:00.000,Hampton,1228,50,7
13,2020-08-09T00:00:00.000,Henrico,3871,335,185
14,2020-08-09T00:00:00.000,Lenowisco,354,36,7
15,2020-08-09T00:00:00.000,Lord Fairfax,2568,222,88
16,2020-08-09T00:00:00.000,Loudoun,5280,349,115
17,2020-08-09T00:00:00.000,Mount Rogers,1427,128,53
18,2020-08-09T00:00:00.000,New River,546,33,8
19,2020-08-09T00:00:00.000,Norfolk,3703,194,31
20,2020-08-09T00:00:00.000,Peninsula,2971,167,44
21,2020-08-09T00:00:00.000,Piedmont,1467,124,34
22,2020-08-09T00:00:00.000,Pittsylvania-Danville,892,77,9
23,2020-08-09T00:00:00.000,Portsmouth,1759,133,25
24,2020-08-09T00:00:00.000,Prince William,11657,974,205
25,2020-08-09T00:00:00.000,Rappahannock,3615,302,57
26,2020-08-09T00:00:00.000,Rappahannock Rapidan,1964,138,27
27,2020-08-09T00:00:00.000,Richmond,3165,302,41
28,2020-08-09T00:00:00.000,Roanoke,1017,24,15
29,2020-08-09T00:00:00.000,Southside,827,68,35
30,2020-08-09T00:00:00.000,Thomas Jefferson,1965,144,44
31,2020-08-09T00:00:00.000,Three Rivers,1087,72,16
32,2020-08-09T00:00:00.000,Virginia Beach,4973,238,54
33,2020-08-09T00:00:00.000,Western Tidewater,2117,132,78
34,2020-08-09T00:00:00.000,West Piedmont,1126,140,15
35,2020-08-08T00:00:00.000,Alexandria,2949,278,60
36,2020-08-08T00:00:00.000,Alleghany,958,44,18
37,2020-08-08T00:00:00.000,Arlington,3062,437,135
38,2020-08-08T00:00:00.000,Central Shenandoah,2773,214,59
39,2020-08-08T00:00:00.000,Central Virginia,1393,62,14
40,2020-08-08T00:00:00.000,Chesapeake,2872,226,37
41,2020-08-08T00:00:00.000,Chesterfield,4691,259,105
42,2020-08-08T00:00:00.000,Chickahominy,981,133,45
43,2020-08-08T00:00:00.000,Crater,2356,217,70
44,2020-08-08T00:00:00.000,Cumberland Plateau,346,26,3
45,2020-08-08T00:00:00.000,Eastern Shore,1391,128,45
46,2020-08-08T00:00:00.000,Fairfax,16447,1953,542
47,2020-08-08T00:00:00.000,Hampton,1210,50,7
48,2020-08-08T00:00:00.000,Henrico,3839,333,184
49,2020-08-08T00:00:00.000,Lenowisco,348,36,7
50,2020-08-08T00:00:00.000,Lord Fairfax,2548,222,87
51,2020-08-08T00:00:00.000,Loudoun,5254,349,115
52,2020-08-08T00:00:00.000,Mount Rogers,1391,128,53
53,2020-08-08T00:00:00.000,New River,520,33,8
54,2020-08-08T00:00:00.000,Norfolk,3700,191,30
55,2020-08-08T00:00:00.000,Peninsula,2944,167,44
56,2020-08-08T00:00:00.000,Piedmont,1468,124,34
57,2020-08-08T00:00:00.000,Pittsylvania-Danville,819,75,9
58,2020-08-08T00:00:00.000,Portsmouth,1758,133,25
59,2020-08-08T00:00:00.000,Prince William,11584,971,205
60,2020-08-08T00:00:00.000,Rappahannock,3584,300,55
61,2020-08-08T00:00:00.000,Rappahannock Rapidan,1951,138,27
62,2020-08-08T00:00:00.000,Richmond,3132,299,41
63,2020-08-08T00:00:00.000,Roanoke,1009,23,15
64,2020-08-08T00:00:00.000,Southside,820,66,35
65,2020-08-08T00:00:00.000,Thomas Jefferson,1939,144,44
66,2020-08-08T00:00:00.000,Three Rivers,1071,71,17
67,2020-08-08T00:00:00.000,Virginia Beach,4895,230,54
68,2020-08-08T00:00:00.000,Western Tidewater,2083,132,78
69,2020-08-08T00:00:00.000,West Piedmont,1103,140,15
70,2020-08-07T00:00:00.000,Alexandria,2917,275,60
71,2020-08-07T00:00:00.000,Alleghany,953,44,18
72,2020-08-07T00:00:00.000,Arlington,3037,436,135
73,2020-08-07T00:00:00.000,Central Shenandoah,2746,214,59
74,2020-08-07T00:00:00.000,Central Virginia,1321,62,14
75,2020-08-07T00:00:00.000,Chesapeake,2828,225,37
76,2020-08-07T00:00:00.000,Chesterfield,4619,256,105
77,2020-08-07T00:00:00.000,Chickahominy,971,133,45
78,2020-08-07T00:00:00.000,Crater,2323,216,70
79,2020-08-07T00:00:00.000,Cumberland Plateau,333,25,3
80,2020-08-07T00:00:00.000,Eastern Shore,1382,127,45
81,2020-08-07T00:00:00.000,Fairfax,16385,1947,543
82,2020-08-07T00:00:00.000,Hampton,1173,49,7
83,2020-08-07T00:00:00.000,Henrico,3811,331,184
84,2020-08-07T00:00:00.000,Lenowisco,330,35,7
85,2020-08-07T00:00:00.000,Lord Fairfax,2530,220,86
86,2020-08-07T00:00:00.000,Loudoun,5196,346,115
87,2020-08-07T00:00:00.000,Mount Rogers,1367,125,52
88,2020-08-07T00:00:00.000,New River,507,33,8
89,2020-08-07T00:00:00.000,Norfolk,3629,187,30
90,2020-08-07T00:00:00.000,Peninsula,2903,167,44
91,2020-08-07T00:00:00.000,Piedmont,1444,124,34
92,2020-08-07T00:00:00.000,Pittsylvania-Danville,804,73,9
93,2020-08-07T00:00:00.000,Portsmouth,1726,133,25
94,2020-08-07T00:00:00.000,Prince William,11483,972,205
95,2020-08-07T00:00:00.000,Rappahannock,3532,299,55
96,2020-08-07T00:00:00.000,Rappahannock Rapidan,1927,137,27
97,2020-08-07T00:00:00.000,Richmond,3112,296,41
98,2020-08-07T00:00:00.000,Roanoke,1000,21,14
99,2020-08-07T00:00:00.000,Southside,763,66,35
100,2020-08-07T00:00:00.000,Thomas Jefferson,1894,141,44
101,2020-08-07T00:00:00.000,Three Rivers,1044,71,16
102,2020-08-07T00:00:00.000,Virginia Beach,4781,229,53
103,2020-08-07T00:00:00.000,Western Tidewater,2040,132,77
104,2020-08-07T00:00:00.000,West Piedmont,1071,134,15
105,2020-08-06T00:00:00.000,Alexandria,2887,274,60
106,2020-08-06T00:00:00.000,Alleghany,912,42,18
107,2020-08-06T00:00:00.000,Arlington,3013,436,135
108,2020-08-06T00:00:00.000,Central Shenandoah,2723,210,57
109,2020-08-06T00:00:00.000,Central Virginia,1231,60,13
110,2020-08-06T00:00:00.000,Chesapeake,2761,223,37
111,2020-08-06T00:00:00.000,Chesterfield,4540,251,102
112,2020-08-06T00:00:00.000,Chickahominy,945,130,45
113,2020-08-06T00:00:00.000,Crater,2261,216,70
114,2020-08-06T00:00:00.000,Cumberland Plateau,309,25,3
115,2020-08-06T00:00:00.000,Eastern Shore,1380,127,45
116,2020-08-06T00:00:00.000,Fairfax,16228,1933,540
117,2020-08-06T00:00:00.000,Hampton,1131,49,7
118,2020-08-06T00:00:00.000,Henrico,3742,327,182
119,2020-08-06T00:00:00.000,Lenowisco,296,34,7
120,2020-08-06T00:00:00.000,Lord Fairfax,2517,219,86
121,2020-08-06T00:00:00.000,Loudoun,5150,342,115
122,2020-08-06T00:00:00.000,Mount Rogers,1317,124,52
123,2020-08-06T00:00:00.000,New River,480,33,7
124,2020-08-06T00:00:00.000,Norfolk,3496,182,29
125,2020-08-06T00:00:00.000,Peninsula,2809,165,44
126,2020-08-06T00:00:00.000,Piedmont,1422,121,31
127,2020-08-06T00:00:00.000,Pittsylvania-Danville,754,70,9
128,2020-08-06T00:00:00.000,Portsmouth,1676,132,25
129,2020-08-06T00:00:00.000,Prince William,11294,964,204
130,2020-08-06T00:00:00.000,Rappahannock,3444,294,55
131,2020-08-06T00:00:00.000,Rappahannock Rapidan,1896,134,27
132,2020-08-06T00:00:00.000,Richmond,3067,289,41
133,2020-08-06T00:00:00.000,Roanoke,973,21,14
134,2020-08-06T00:00:00.000,Southside,721,66,35
135,2020-08-06T00:00:00.000,Thomas Jefferson,1845,138,44
136,2020-08-06T00:00:00.000,Three Rivers,1012,69,16
137,2020-08-06T00:00:00.000,Virginia Beach,4658,222,52
138,2020-08-06T00:00:00.000,Western Tidewater,1961,132,77
139,2020-08-06T00:00:00.000,West Piedmont,1016,129,15
140,2020-08-05T00:00:00.000,Alexandria,2872,274,60
141,2020-08-05T00:00:00.000,Alleghany,882,40,18
142,2020-08-05T00:00:00.000,Arlington,2997,436,135
143,2020-08-05T00:00:00.000,Central Shenandoah,2719,207,55
144,2020-08-05T00:00:00.000,Central Virginia,1197,58,13
145,2020-08-05T00:00:00.000,Chesapeake,2714,221,33
146,2020-08-05T00:00:00.000,Chesterfield,4493,252,100
147,2020-08-05T00:00:00.000,Chickahominy,936,130,45
148,2020-08-05T00:00:00.000,Crater,2233,215,68
149,2020-08-05T00:00:00.000,Cumberland Plateau,298,24,3
150,2020-08-05T00:00:00.000,Eastern Shore,1380,127,44
151,2020-08-05T00:00:00.000,Fairfax,16160,1925,542
152,2020-08-05T00:00:00.000,Hampton,1129,49,7
153,2020-08-05T00:00:00.000,Henrico,3714,322,182
154,2020-08-05T00:00:00.000,Lenowisco,291,34,7
155,2020-08-05T00:00:00.000,Lord Fairfax,2513,219,85
156,2020-08-05T00:00:00.000,Loudoun,5117,340,113
157,2020-08-05T00:00:00.000,Mount Rogers,1295,122,52
158,2020-08-05T00:00:00.000,New River,468,32,7
159,2020-08-05T00:00:00.000,Norfolk,3493,179,28
160,2020-08-05T00:00:00.000,Peninsula,2802,165,44
161,2020-08-05T00:00:00.000,Piedmont,1415,119,29
162,2020-08-05T00:00:00.000,Pittsylvania-Danville,737,68,9
163,2020-08-05T00:00:00.000,Portsmouth,1663,131,25
164,2020-08-05T00:00:00.000,Prince William,11264,964,202
165,2020-08-05T00:00:00.000,Rappahannock,3387,293,55
166,2020-08-05T00:00:00.000,Rappahannock Rapidan,1878,133,27
167,2020-08-05T00:00:00.000,Richmond,3034,286,39
168,2020-08-05T00:00:00.000,Roanoke,932,21,14
169,2020-08-05T00:00:00.000,Southside,689,65,35
170,2020-08-05T00:00:00.000,Thomas Jefferson,1828,137,41
171,2020-08-05T00:00:00.000,Three Rivers,1009,69,16
172,2020-08-05T00:00:00.000,Virginia Beach,4583,219,49
173,2020-08-05T00:00:00.000,Western Tidewater,1936,132,77
174,2020-08-05T00:00:00.000,West Piedmont,991,118,15
175,2020-08-04T00:00:00.000,Alexandria,2867,273,60
