Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
7/18/2020,Southside,521,60,32
7/18/2020,Chesapeake,1612,164,24
7/18/2020,Thomas Jefferson,1363,115,29
7/18/2020,Roanoke,621,15,10
7/18/2020,Eastern Shore,1329,116,43
7/18/2020,Mount Rogers,935,89,36
7/18/2020,Chickahominy,776,114,40
7/18/2020,New River,335,25,6
7/18/2020,Central Virginia,576,17,6
7/18/2020,Piedmont,1161,114,19
7/18/2020,Lord Fairfax,2298,202,80
7/18/2020,Crater,1826,186,50
7/18/2020,Hampton,645,42,4
7/18/2020,Alexandria,2540,255,56
7/18/2020,Fairfax,14925,1808,522
7/18/2020,Richmond,2541,250,36
7/18/2020,Arlington,2726,427,135
7/18/2020,Rappahannock Rapidan,1673,125,25
7/18/2020,Rappahannock,2806,256,46
7/18/2020,Pittsylvania-Danville,373,52,4
7/18/2020,Prince William,10095,883,188
7/18/2020,Cumberland Plateau,130,8,0
7/18/2020,Portsmouth,925,96,20
7/18/2020,Virginia Beach,2464,144,36
7/18/2020,West Piedmont,699,78,8
7/18/2020,Three Rivers,842,61,11
7/18/2020,Alleghany,694,37,15
7/18/2020,Lenowisco,113,21,5
7/18/2020,Norfolk,2134,138,19
7/18/2020,Western Tidewater,1247,109,68
7/18/2020,Henrico,3005,282,175
7/18/2020,Central Shenandoah,2408,191,48
7/18/2020,Loudoun,4596,317,103
7/18/2020,Chesterfield,3692,206,88
7/18/2020,Peninsula,1747,144,38
