Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/3/2020,Confirmed,7,0,2
5/2/2020,Confirmed,42,4,12
5/2/2020,Probable,1,1,1
5/1/2020,Confirmed,340,15,7
5/1/2020,Probable,6,0,1
4/30/2020,Confirmed,550,25,25
4/30/2020,Probable,8,0,0
4/29/2020,Confirmed,573,39,15
4/29/2020,Probable,9,0,0
4/28/2020,Confirmed,611,49,23
4/28/2020,Probable,18,0,0
4/27/2020,Confirmed,652,54,18
4/27/2020,Probable,17,1,0
4/26/2020,Confirmed,428,37,22
4/26/2020,Probable,16,0,3
4/25/2020,Confirmed,436,46,19
4/25/2020,Probable,34,1,2
4/24/2020,Confirmed,673,56,21
4/24/2020,Probable,39,0,1
4/23/2020,Confirmed,604,47,17
4/23/2020,Probable,26,0,2
4/22/2020,Confirmed,607,56,24
4/22/2020,Probable,35,0,0
4/21/2020,Confirmed,594,76,26
4/21/2020,Probable,25,2,2
4/20/2020,Confirmed,673,66,16
4/20/2020,Probable,42,0,2
4/19/2020,Confirmed,386,48,33
4/19/2020,Probable,23,1,0
4/18/2020,Confirmed,377,58,18
4/18/2020,Probable,17,1,0
4/17/2020,Confirmed,596,54,27
4/17/2020,Probable,29,0,1
4/16/2020,Confirmed,531,64,29
4/16/2020,Probable,14,0,0
4/15/2020,Confirmed,440,70,22
4/15/2020,Probable,17,0,0
4/14/2020,Confirmed,557,55,23
4/14/2020,Probable,29,1,1
4/13/2020,Confirmed,551,81,23
4/13/2020,Probable,35,2,1
4/12/2020,Confirmed,345,65,19
4/12/2020,Probable,32,0,1
4/11/2020,Confirmed,329,44,15
4/11/2020,Probable,25,0,0
4/10/2020,Confirmed,511,59,18
4/10/2020,Probable,30,0,0
4/9/2020,Confirmed,387,70,12
4/9/2020,Probable,20,0,0
4/8/2020,Confirmed,413,50,9
4/8/2020,Probable,33,0,1
4/7/2020,Confirmed,396,58,14
4/7/2020,Probable,19,0,0
4/6/2020,Confirmed,423,78,16
4/6/2020,Probable,30,0,0
4/5/2020,Confirmed,272,55,10
4/5/2020,Probable,21,0,0
4/4/2020,Confirmed,271,56,8
4/4/2020,Probable,14,0,0
4/3/2020,Confirmed,306,55,10
4/3/2020,Probable,15,1,0
4/2/2020,Confirmed,282,51,9
4/2/2020,Probable,15,0,0
4/1/2020,Confirmed,282,69,10
4/1/2020,Probable,17,0,1
3/31/2020,Confirmed,275,45,10
3/31/2020,Probable,9,0,1
3/30/2020,Confirmed,358,65,6
3/30/2020,Probable,15,0,0
3/29/2020,Confirmed,182,63,6
3/29/2020,Probable,7,0,0
3/28/2020,Confirmed,211,59,8
3/28/2020,Probable,4,0,0
3/27/2020,Confirmed,232,50,9
3/27/2020,Probable,3,0,0
3/26/2020,Confirmed,242,47,3
3/26/2020,Probable,12,0,1
3/25/2020,Confirmed,231,54,4
3/25/2020,Probable,6,0,0
3/24/2020,Confirmed,224,52,3
3/24/2020,Probable,10,0,0
3/23/2020,Confirmed,240,40,1
3/23/2020,Probable,14,0,0
3/22/2020,Confirmed,156,22,4
3/22/2020,Probable,6,0,0
3/21/2020,Confirmed,164,27,4
3/21/2020,Probable,6,0,0
3/20/2020,Confirmed,198,19,1
3/20/2020,Probable,3,0,0
3/19/2020,Confirmed,180,17,0
3/19/2020,Probable,3,0,0
3/18/2020,Confirmed,194,14,0
3/18/2020,Probable,6,0,0
3/17/2020,Confirmed,167,12,0
3/17/2020,Probable,6,0,0
3/16/2020,Confirmed,181,11,0
3/16/2020,Probable,4,0,0
3/15/2020,Confirmed,106,9,1
3/15/2020,Probable,4,0,0
3/14/2020,Confirmed,134,6,1
3/14/2020,Probable,3,0,0
3/13/2020,Confirmed,106,6,0
3/13/2020,Probable,4,0,0
3/12/2020,Confirmed,93,5,0
3/12/2020,Probable,2,0,0
3/11/2020,Confirmed,70,4,0
3/11/2020,Probable,2,0,0
3/10/2020,Confirmed,55,2,0
3/10/2020,Probable,1,0,0
3/9/2020,Confirmed,45,3,0
3/9/2020,Probable,1,0,0
3/8/2020,Confirmed,20,0,0
3/8/2020,Probable,1,0,0
3/7/2020,Confirmed,20,1,0
3/6/2020,Confirmed,24,1,0
3/5/2020,Confirmed,13,1,0
3/4/2020,Confirmed,16,0,0
3/3/2020,Confirmed,11,0,0
3/3/2020,Probable,1,0,0
3/2/2020,Confirmed,9,0,0
3/2/2020,Probable,2,0,0
3/1/2020,Confirmed,10,0,0
3/1/2020,Probable,1,0,0
2/29/2020,Confirmed,2,0,0
2/28/2020,Confirmed,5,0,0
2/27/2020,Confirmed,1,0,0
2/26/2020,Confirmed,3,1,0
2/26/2020,Probable,1,0,0
2/24/2020,Confirmed,2,0,0
2/23/2020,Confirmed,2,0,0
2/19/2020,Confirmed,1,0,0
2/18/2020,Confirmed,1,1,0
2/16/2020,Confirmed,1,0,0
