Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/6/2020,Confirmed,12,3,2
5/5/2020,Confirmed,73,5,11
5/5/2020,Probable,2,0,1
5/4/2020,Confirmed,299,18,6
5/4/2020,Probable,6,1,0
5/3/2020,Confirmed,270,24,7
5/3/2020,Probable,4,0,0
5/2/2020,Confirmed,302,30,8
5/2/2020,Probable,8,2,1
5/1/2020,Confirmed,598,50,5
5/1/2020,Probable,22,0,0
4/30/2020,Confirmed,634,50,14
4/30/2020,Probable,23,0,0
4/29/2020,Confirmed,602,52,8
4/29/2020,Probable,17,0,1
4/28/2020,Confirmed,648,58,11
4/28/2020,Probable,25,0,0
4/27/2020,Confirmed,722,65,15
4/27/2020,Probable,22,2,0
4/26/2020,Confirmed,483,44,14
4/26/2020,Probable,17,0,2
4/25/2020,Confirmed,471,48,11
4/25/2020,Probable,39,1,2
4/24/2020,Confirmed,769,65,12
4/24/2020,Probable,42,0,0
4/23/2020,Confirmed,648,51,11
4/23/2020,Probable,33,0,2
4/22/2020,Confirmed,636,59,8
4/22/2020,Probable,38,0,0
4/21/2020,Confirmed,622,81,13
4/21/2020,Probable,27,2,2
4/20/2020,Confirmed,711,70,11
4/20/2020,Probable,52,0,2
4/19/2020,Confirmed,396,51,15
4/19/2020,Probable,28,1,0
4/18/2020,Confirmed,390,59,10
4/18/2020,Probable,18,1,0
4/17/2020,Confirmed,610,55,13
4/17/2020,Probable,34,0,1
4/16/2020,Confirmed,560,67,16
4/16/2020,Probable,17,0,0
4/15/2020,Confirmed,456,71,15
4/15/2020,Probable,20,0,0
4/14/2020,Confirmed,561,56,18
4/14/2020,Probable,29,0,1
4/13/2020,Confirmed,564,83,13
4/13/2020,Probable,40,2,1
4/12/2020,Confirmed,350,63,15
4/12/2020,Probable,34,0,1
4/11/2020,Confirmed,332,45,9
4/11/2020,Probable,26,0,0
4/10/2020,Confirmed,521,59,11
4/10/2020,Probable,30,0,0
4/9/2020,Confirmed,392,70,5
4/9/2020,Probable,21,0,0
4/8/2020,Confirmed,419,52,6
4/8/2020,Probable,33,0,0
4/7/2020,Confirmed,398,58,8
4/7/2020,Probable,18,0,0
4/6/2020,Confirmed,427,79,8
4/6/2020,Probable,34,0,0
4/5/2020,Confirmed,276,58,6
4/5/2020,Probable,24,0,0
4/4/2020,Confirmed,271,57,3
4/4/2020,Probable,15,0,0
4/3/2020,Confirmed,304,57,5
4/3/2020,Probable,17,1,0
4/2/2020,Confirmed,286,53,8
4/2/2020,Probable,16,0,0
4/1/2020,Confirmed,292,70,4
4/1/2020,Probable,27,0,1
3/31/2020,Confirmed,276,46,6
3/31/2020,Probable,12,0,0
3/30/2020,Confirmed,362,64,3
3/30/2020,Probable,18,0,0
3/29/2020,Confirmed,183,64,5
3/29/2020,Probable,8,0,0
3/28/2020,Confirmed,210,61,3
3/28/2020,Probable,5,0,0
3/27/2020,Confirmed,229,55,4
3/27/2020,Probable,4,0,0
3/26/2020,Confirmed,244,49,4
3/26/2020,Probable,11,0,1
3/25/2020,Confirmed,235,55,2
3/25/2020,Probable,8,0,0
3/24/2020,Confirmed,230,52,2
3/24/2020,Probable,14,0,0
3/23/2020,Confirmed,243,40,1
3/23/2020,Probable,14,0,0
3/22/2020,Confirmed,158,22,2
3/22/2020,Probable,6,0,0
3/21/2020,Confirmed,167,27,5
3/21/2020,Probable,9,0,0
3/20/2020,Confirmed,198,19,1
3/20/2020,Probable,5,0,0
3/19/2020,Confirmed,180,17,0
3/19/2020,Probable,5,0,0
3/18/2020,Confirmed,193,15,0
3/18/2020,Probable,6,0,0
3/17/2020,Confirmed,172,13,0
3/17/2020,Probable,9,0,0
3/16/2020,Confirmed,183,11,0
3/16/2020,Probable,5,0,0
3/15/2020,Confirmed,109,9,1
3/15/2020,Probable,5,0,0
3/14/2020,Confirmed,135,6,1
3/14/2020,Probable,3,0,0
3/13/2020,Confirmed,107,6,0
3/13/2020,Probable,4,0,0
3/12/2020,Confirmed,94,5,0
3/12/2020,Probable,3,0,0
3/11/2020,Confirmed,72,4,0
3/11/2020,Probable,3,0,0
3/10/2020,Confirmed,55,2,0
3/10/2020,Probable,1,0,0
3/9/2020,Confirmed,45,3,0
3/9/2020,Probable,1,0,0
3/8/2020,Confirmed,20,0,0
3/8/2020,Probable,1,0,0
3/7/2020,Confirmed,20,1,0
3/6/2020,Confirmed,24,1,0
3/5/2020,Confirmed,13,1,0
3/4/2020,Confirmed,17,0,0
3/3/2020,Confirmed,12,0,0
3/3/2020,Probable,1,0,0
3/2/2020,Confirmed,10,0,0
3/2/2020,Probable,2,0,0
3/1/2020,Confirmed,10,0,0
3/1/2020,Probable,1,0,0
2/29/2020,Confirmed,2,0,0
2/28/2020,Confirmed,5,0,0
2/27/2020,Confirmed,1,0,0
2/26/2020,Confirmed,3,1,0
2/26/2020,Probable,1,0,0
2/25/2020,Probable,1,0,0
2/24/2020,Confirmed,2,0,0
2/23/2020,Confirmed,2,0,0
2/23/2020,Probable,1,0,0
2/19/2020,Confirmed,1,0,0
2/18/2020,Confirmed,1,1,0
2/17/2020,Probable,1,0,0
2/16/2020,Confirmed,1,0,0
