Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
7/3/2020,Southside,414,49,30
7/3/2020,Chesapeake,972,143,21
7/3/2020,Thomas Jefferson,960,99,25
7/3/2020,Roanoke,465,14,10
7/3/2020,Eastern Shore,1313,113,42
7/3/2020,Mount Rogers,743,74,32
7/3/2020,Chickahominy,669,111,39
7/3/2020,New River,252,22,5
7/3/2020,Central Virginia,418,16,5
7/3/2020,Piedmont,1065,89,13
7/3/2020,Lord Fairfax,2060,183,69
7/3/2020,Crater,1562,154,38
7/3/2020,Hampton,354,41,5
7/3/2020,Alexandria,2338,238,57
7/3/2020,Fairfax,14089,1668,509
7/3/2020,Richmond,2248,227,30
7/3/2020,Arlington,2500,421,132
7/3/2020,Rappahannock Rapidan,1457,109,22
7/3/2020,Rappahannock,2489,226,44
7/3/2020,Pittsylvania-Danville,223,41,3
7/3/2020,Prince William,9306,820,170
7/3/2020,Cumberland Plateau,65,2,0
7/3/2020,Portsmouth,526,73,18
7/3/2020,Virginia Beach,1254,121,30
7/3/2020,West Piedmont,501,45,7
7/3/2020,Three Rivers,648,50,9
7/3/2020,Alleghany,531,31,15
7/3/2020,Lenowisco,55,17,4
7/3/2020,Norfolk,1000,111,11
7/3/2020,Western Tidewater,841,88,55
7/3/2020,Henrico,2629,258,157
7/3/2020,Central Shenandoah,2111,173,40
7/3/2020,Loudoun,4113,279,91
7/3/2020,Chesterfield,3203,149,73
7/3/2020,Peninsula,1019,127,34
