Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/9/2020,Confirmed,8,1,1
5/8/2020,Confirmed,47,7,8
5/8/2020,Probable,2,0,0
5/7/2020,Confirmed,135,15,18
5/7/2020,Probable,1,0,0
5/6/2020,Confirmed,390,32,15
5/6/2020,Probable,9,0,1
5/5/2020,Confirmed,526,38,28
5/5/2020,Probable,6,0,1
5/4/2020,Confirmed,692,54,16
5/4/2020,Probable,9,0,0
5/3/2020,Confirmed,380,49,15
5/3/2020,Probable,6,0,1
5/2/2020,Confirmed,443,44,21
5/2/2020,Probable,15,2,1
5/1/2020,Confirmed,728,59,16
5/1/2020,Probable,32,0,0
4/30/2020,Confirmed,679,63,29
4/30/2020,Probable,31,0,0
4/29/2020,Confirmed,700,57,19
4/29/2020,Probable,18,0,1
4/28/2020,Confirmed,685,65,25
4/28/2020,Probable,27,1,0
4/27/2020,Confirmed,741,68,20
4/27/2020,Probable,27,2,0
4/26/2020,Confirmed,518,49,24
4/26/2020,Probable,19,0,3
4/25/2020,Confirmed,524,49,20
4/25/2020,Probable,37,1,3
4/24/2020,Confirmed,755,69,24
4/24/2020,Probable,44,0,1
4/23/2020,Confirmed,682,55,18
4/23/2020,Probable,34,0,2
4/22/2020,Confirmed,670,58,25
4/22/2020,Probable,38,0,0
4/21/2020,Confirmed,628,84,26
4/21/2020,Probable,26,2,2
4/20/2020,Confirmed,758,75,16
4/20/2020,Probable,53,1,2
4/19/2020,Confirmed,412,52,33
4/19/2020,Probable,29,1,0
4/18/2020,Confirmed,390,59,19
4/18/2020,Probable,20,1,0
4/17/2020,Confirmed,621,57,28
4/17/2020,Probable,39,0,1
4/16/2020,Confirmed,565,68,29
4/16/2020,Probable,16,0,0
4/15/2020,Confirmed,468,71,22
4/15/2020,Probable,20,0,0
4/14/2020,Confirmed,557,56,23
4/14/2020,Probable,30,0,1
4/13/2020,Confirmed,583,83,24
4/13/2020,Probable,42,2,1
4/12/2020,Confirmed,366,65,20
4/12/2020,Probable,34,0,1
4/11/2020,Confirmed,335,48,14
4/11/2020,Probable,30,0,0
4/10/2020,Confirmed,511,61,19
4/10/2020,Probable,31,0,0
4/9/2020,Confirmed,391,72,13
4/9/2020,Probable,21,0,0
4/8/2020,Confirmed,412,56,10
4/8/2020,Probable,31,0,1
4/7/2020,Confirmed,394,59,14
4/7/2020,Probable,17,0,0
4/6/2020,Confirmed,440,80,16
4/6/2020,Probable,35,0,0
4/5/2020,Confirmed,278,58,10
4/5/2020,Probable,25,0,0
4/4/2020,Confirmed,291,57,8
4/4/2020,Probable,14,0,0
4/3/2020,Confirmed,319,60,11
4/3/2020,Probable,16,1,0
4/2/2020,Confirmed,303,55,9
4/2/2020,Probable,17,0,0
4/1/2020,Confirmed,294,70,10
4/1/2020,Probable,27,0,1
3/31/2020,Confirmed,278,48,10
3/31/2020,Probable,12,0,1
3/30/2020,Confirmed,372,65,6
3/30/2020,Probable,18,0,0
3/29/2020,Confirmed,183,64,7
3/29/2020,Probable,9,0,0
3/28/2020,Confirmed,217,63,8
3/28/2020,Probable,5,0,0
3/27/2020,Confirmed,243,55,9
3/27/2020,Probable,4,0,0
3/26/2020,Confirmed,250,49,4
3/26/2020,Probable,11,0,1
3/25/2020,Confirmed,243,54,4
3/25/2020,Probable,7,0,0
3/24/2020,Confirmed,229,52,3
3/24/2020,Probable,14,0,0
3/23/2020,Confirmed,243,41,1
3/23/2020,Probable,16,0,0
3/22/2020,Confirmed,161,22,4
3/22/2020,Probable,6,0,0
3/21/2020,Confirmed,173,28,4
3/21/2020,Probable,8,0,0
3/20/2020,Confirmed,201,19,1
3/20/2020,Probable,7,0,0
3/19/2020,Confirmed,179,17,0
3/19/2020,Probable,8,0,0
3/18/2020,Confirmed,201,15,0
3/18/2020,Probable,7,0,0
3/17/2020,Confirmed,177,13,0
3/17/2020,Probable,10,0,0
3/16/2020,Confirmed,186,11,0
3/16/2020,Probable,6,0,0
3/15/2020,Confirmed,112,9,1
3/15/2020,Probable,6,0,0
3/14/2020,Confirmed,134,6,1
3/14/2020,Probable,4,0,0
3/13/2020,Confirmed,108,6,0
3/13/2020,Probable,4,0,0
3/12/2020,Confirmed,96,5,0
3/12/2020,Probable,3,0,0
3/11/2020,Confirmed,73,4,0
3/11/2020,Probable,3,0,0
3/10/2020,Confirmed,58,2,0
3/10/2020,Probable,2,0,0
3/9/2020,Confirmed,47,3,0
3/9/2020,Probable,1,0,0
3/8/2020,Confirmed,20,0,0
3/8/2020,Probable,1,0,0
3/7/2020,Confirmed,21,1,0
3/7/2020,Probable,1,0,0
3/6/2020,Confirmed,25,1,0
3/5/2020,Confirmed,13,1,0
3/4/2020,Confirmed,19,0,0
3/3/2020,Confirmed,13,0,0
3/3/2020,Probable,1,0,0
3/2/2020,Confirmed,14,0,0
3/2/2020,Probable,2,0,0
3/1/2020,Confirmed,11,0,0
3/1/2020,Probable,1,0,0
2/29/2020,Confirmed,4,0,0
2/29/2020,Probable,1,0,0
2/28/2020,Confirmed,5,0,0
2/27/2020,Confirmed,1,0,0
2/26/2020,Confirmed,4,1,0
2/26/2020,Probable,1,0,0
2/25/2020,Probable,1,0,0
2/24/2020,Confirmed,5,0,0
2/23/2020,Confirmed,2,0,0
2/23/2020,Probable,1,0,0
2/19/2020,Confirmed,1,0,0
2/18/2020,Confirmed,2,1,0
2/17/2020,Probable,1,0,0
2/16/2020,Confirmed,1,0,0
