,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-04T00:00:00.000,Alexandria,2867,273,60
1,2020-08-04T00:00:00.000,Alleghany,872,40,17
2,2020-08-04T00:00:00.000,Arlington,2973,436,136
3,2020-08-04T00:00:00.000,Central Shenandoah,2709,207,54
4,2020-08-04T00:00:00.000,Central Virginia,1155,56,11
5,2020-08-04T00:00:00.000,Chesapeake,2689,217,30
6,2020-08-04T00:00:00.000,Chesterfield,4460,252,100
7,2020-08-04T00:00:00.000,Chickahominy,929,130,44
8,2020-08-04T00:00:00.000,Crater,2215,213,65
9,2020-08-04T00:00:00.000,Cumberland Plateau,277,22,1
10,2020-08-04T00:00:00.000,Eastern Shore,1377,126,44
11,2020-08-04T00:00:00.000,Fairfax,16127,1927,540
12,2020-08-04T00:00:00.000,Hampton,1103,49,7
13,2020-08-04T00:00:00.000,Henrico,3690,321,182
14,2020-08-04T00:00:00.000,Lenowisco,279,32,7
15,2020-08-04T00:00:00.000,Lord Fairfax,2505,217,85
16,2020-08-04T00:00:00.000,Loudoun,5093,339,113
17,2020-08-04T00:00:00.000,Mount Rogers,1276,121,51
18,2020-08-04T00:00:00.000,New River,463,32,7
19,2020-08-04T00:00:00.000,Norfolk,3425,178,26
20,2020-08-04T00:00:00.000,Peninsula,2776,165,43
21,2020-08-04T00:00:00.000,Piedmont,1381,117,29
22,2020-08-04T00:00:00.000,Pittsylvania-Danville,727,66,9
23,2020-08-04T00:00:00.000,Portsmouth,1631,129,24
24,2020-08-04T00:00:00.000,Prince William,11205,956,200
25,2020-08-04T00:00:00.000,Rappahannock,3356,293,52
26,2020-08-04T00:00:00.000,Rappahannock Rapidan,1863,133,26
27,2020-08-04T00:00:00.000,Richmond,3015,282,39
28,2020-08-04T00:00:00.000,Roanoke,913,21,14
29,2020-08-04T00:00:00.000,Southside,666,65,35
30,2020-08-04T00:00:00.000,Thomas Jefferson,1824,137,39
31,2020-08-04T00:00:00.000,Three Rivers,1002,69,15
32,2020-08-04T00:00:00.000,Virginia Beach,4529,215,49
33,2020-08-04T00:00:00.000,Western Tidewater,1901,132,77
34,2020-08-04T00:00:00.000,West Piedmont,978,117,13
35,2020-08-03T00:00:00.000,Alexandria,2844,269,59
36,2020-08-03T00:00:00.000,Alleghany,871,39,20
37,2020-08-03T00:00:00.000,Arlington,2945,436,136
38,2020-08-03T00:00:00.000,Central Shenandoah,2681,206,53
39,2020-08-03T00:00:00.000,Central Virginia,1122,56,10
40,2020-08-03T00:00:00.000,Chesapeake,2617,213,29
41,2020-08-03T00:00:00.000,Chesterfield,4410,245,100
42,2020-08-03T00:00:00.000,Chickahominy,917,129,44
43,2020-08-03T00:00:00.000,Crater,2202,209,62
44,2020-08-03T00:00:00.000,Cumberland Plateau,269,21,1
45,2020-08-03T00:00:00.000,Eastern Shore,1374,123,43
46,2020-08-03T00:00:00.000,Fairfax,16048,1924,536
