Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/15/2020,Confirmed,25,0,2
5/15/2020,Probable,2,0,0
5/14/2020,Confirmed,54,4,7
5/14/2020,Probable,2,0,1
5/13/2020,Confirmed,186,18,7
5/13/2020,Probable,6,0,1
5/12/2020,Confirmed,514,31,12
5/12/2020,Probable,6,0,0
5/11/2020,Confirmed,589,38,24
5/11/2020,Probable,8,1,0
5/10/2020,Confirmed,301,48,20
5/10/2020,Probable,9,0,0
5/9/2020,Confirmed,419,43,12
5/9/2020,Probable,14,0,0
5/8/2020,Confirmed,704,53,27
5/8/2020,Probable,17,0,0
5/7/2020,Confirmed,642,52,26
5/7/2020,Probable,12,0,0
5/6/2020,Confirmed,674,64,19
5/6/2020,Probable,35,0,1
5/5/2020,Confirmed,748,66,32
5/5/2020,Probable,27,0,1
5/4/2020,Confirmed,859,74,19
5/4/2020,Probable,35,1,0
5/3/2020,Confirmed,484,71,17
5/3/2020,Probable,24,0,2
5/2/2020,Confirmed,565,56,27
5/2/2020,Probable,23,3,1
5/1/2020,Confirmed,926,76,19
5/1/2020,Probable,50,0,0
4/30/2020,Confirmed,779,70,36
4/30/2020,Probable,50,0,0
4/29/2020,Confirmed,773,66,21
4/29/2020,Probable,34,2,2
4/28/2020,Confirmed,758,75,30
4/28/2020,Probable,36,1,0
4/27/2020,Confirmed,824,79,21
4/27/2020,Probable,36,2,0
4/26/2020,Confirmed,587,54,24
4/26/2020,Probable,26,0,3
4/25/2020,Confirmed,567,52,20
4/25/2020,Probable,44,1,3
4/24/2020,Confirmed,821,74,25
4/24/2020,Probable,45,0,2
4/23/2020,Confirmed,727,60,19
4/23/2020,Probable,40,0,2
4/22/2020,Confirmed,708,62,26
4/22/2020,Probable,40,0,0
4/21/2020,Confirmed,641,90,27
4/21/2020,Probable,27,2,2
4/20/2020,Confirmed,791,82,16
4/20/2020,Probable,56,1,3
4/19/2020,Confirmed,431,58,33
4/19/2020,Probable,30,1,0
4/18/2020,Confirmed,397,63,21
4/18/2020,Probable,23,1,0
4/17/2020,Confirmed,632,61,28
4/17/2020,Probable,39,1,2
4/16/2020,Confirmed,572,69,29
4/16/2020,Probable,19,0,0
4/15/2020,Confirmed,479,75,22
4/15/2020,Probable,24,0,0
4/14/2020,Confirmed,565,59,24
4/14/2020,Probable,31,0,0
4/13/2020,Confirmed,604,86,25
4/13/2020,Probable,46,2,2
4/12/2020,Confirmed,387,65,20
4/12/2020,Probable,33,0,1
4/11/2020,Confirmed,341,50,14
4/11/2020,Probable,30,0,0
4/10/2020,Confirmed,512,61,21
4/10/2020,Probable,36,0,0
4/9/2020,Confirmed,405,72,12
4/9/2020,Probable,23,0,0
4/8/2020,Confirmed,429,58,11
4/8/2020,Probable,33,0,1
4/7/2020,Confirmed,405,60,14
4/7/2020,Probable,17,0,0
4/6/2020,Confirmed,462,80,16
4/6/2020,Probable,39,0,0
4/5/2020,Confirmed,289,59,10
4/5/2020,Probable,26,0,0
4/4/2020,Confirmed,296,58,8
4/4/2020,Probable,16,0,0
4/3/2020,Confirmed,328,61,11
4/3/2020,Probable,16,1,0
4/2/2020,Confirmed,313,55,9
4/2/2020,Probable,17,0,0
4/1/2020,Confirmed,310,70,10
4/1/2020,Probable,27,0,1
3/31/2020,Confirmed,283,50,10
3/31/2020,Probable,12,0,1
3/30/2020,Confirmed,374,66,6
3/30/2020,Probable,25,0,0
3/29/2020,Confirmed,186,65,7
3/29/2020,Probable,10,0,0
3/28/2020,Confirmed,220,64,8
3/28/2020,Probable,7,0,0
3/27/2020,Confirmed,243,57,9
3/27/2020,Probable,4,0,0
3/26/2020,Confirmed,253,49,4
3/26/2020,Probable,11,0,1
3/25/2020,Confirmed,247,54,4
3/25/2020,Probable,7,0,0
3/24/2020,Confirmed,230,52,3
3/24/2020,Probable,14,0,0
3/23/2020,Confirmed,247,42,1
3/23/2020,Probable,17,0,0
3/22/2020,Confirmed,165,23,4
3/22/2020,Probable,6,0,0
3/21/2020,Confirmed,173,28,4
3/21/2020,Probable,8,0,0
3/20/2020,Confirmed,204,19,1
3/20/2020,Probable,9,0,0
3/19/2020,Confirmed,179,17,0
3/19/2020,Probable,8,0,0
3/18/2020,Confirmed,201,15,0
3/18/2020,Probable,7,0,0
3/17/2020,Confirmed,179,13,0
3/17/2020,Probable,11,0,0
3/16/2020,Confirmed,185,11,0
3/16/2020,Probable,7,0,0
3/15/2020,Confirmed,113,9,1
3/15/2020,Probable,6,0,0
3/14/2020,Confirmed,133,6,1
3/14/2020,Probable,6,0,0
3/13/2020,Confirmed,108,6,0
3/13/2020,Probable,5,0,0
3/12/2020,Confirmed,100,5,0
3/12/2020,Probable,3,0,0
3/11/2020,Confirmed,72,4,0
3/11/2020,Probable,5,0,0
3/10/2020,Confirmed,65,2,0
3/10/2020,Probable,2,0,0
3/9/2020,Confirmed,46,3,0
3/9/2020,Probable,4,0,0
3/8/2020,Confirmed,20,0,0
3/8/2020,Probable,1,0,0
3/7/2020,Confirmed,22,1,0
3/7/2020,Probable,1,0,0
3/6/2020,Confirmed,25,1,0
3/6/2020,Probable,1,0,0
3/5/2020,Confirmed,13,1,0
3/4/2020,Confirmed,20,0,0
3/4/2020,Probable,1,0,0
3/3/2020,Confirmed,14,0,0
3/3/2020,Probable,1,0,0
3/2/2020,Confirmed,14,0,0
3/2/2020,Probable,2,0,0
3/1/2020,Confirmed,12,0,0
3/1/2020,Probable,3,0,0
2/29/2020,Confirmed,4,0,0
2/29/2020,Probable,1,0,0
2/28/2020,Confirmed,5,0,0
2/27/2020,Confirmed,1,0,0
2/26/2020,Confirmed,4,1,0
2/26/2020,Probable,1,0,0
2/25/2020,Probable,1,0,0
2/24/2020,Confirmed,5,0,0
2/23/2020,Confirmed,2,0,0
2/23/2020,Probable,1,0,0
2/19/2020,Confirmed,1,0,0
2/18/2020,Confirmed,2,1,0
2/17/2020,Probable,1,0,0
2/16/2020,Confirmed,1,0,0
