Event Date,Case Status,Number of Hospitalizations,Number of Deaths,Number of Cases
5/11/2020,Confirmed,1,6,7
5/10/2020,Confirmed,7,10,13
5/10/2020,Probable,0,0,1
5/9/2020,Confirmed,15,9,61
5/8/2020,Confirmed,23,16,397
5/8/2020,Probable,0,0,4
5/7/2020,Confirmed,41,22,510
5/7/2020,Probable,0,0,3
5/6/2020,Confirmed,45,16,568
5/6/2020,Probable,0,1,14
5/5/2020,Confirmed,49,30,633
5/5/2020,Probable,0,1,15
5/4/2020,Confirmed,62,17,735
5/4/2020,Probable,0,0,16
5/3/2020,Confirmed,63,16,409
5/3/2020,Probable,0,1,13
5/2/2020,Confirmed,50,24,491
5/2/2020,Probable,2,1,14
5/1/2020,Confirmed,67,17,809
5/1/2020,Probable,0,0,30
4/30/2020,Confirmed,66,30,713
4/30/2020,Probable,0,0,35
4/29/2020,Confirmed,63,20,719
4/29/2020,Probable,1,2,23
4/28/2020,Confirmed,69,27,715
4/28/2020,Probable,1,0,29
4/27/2020,Confirmed,73,20,773
4/27/2020,Probable,2,0,28
4/26/2020,Confirmed,52,24,561
4/26/2020,Probable,0,3,21
4/25/2020,Confirmed,51,20,547
4/25/2020,Probable,1,3,40
4/24/2020,Confirmed,70,24,789
4/24/2020,Probable,0,1,44
4/23/2020,Confirmed,55,18,700
4/23/2020,Probable,0,2,35
4/22/2020,Confirmed,58,25,687
4/22/2020,Probable,0,0,41
4/21/2020,Confirmed,88,26,631
4/21/2020,Probable,2,2,26
4/20/2020,Confirmed,78,16,775
4/20/2020,Probable,1,2,57
4/19/2020,Confirmed,54,33,419
4/19/2020,Probable,1,0,29
4/18/2020,Confirmed,60,19,399
4/18/2020,Probable,1,0,21
4/17/2020,Confirmed,57,28,631
4/17/2020,Probable,0,1,39
4/16/2020,Confirmed,68,29,569
4/16/2020,Probable,0,0,19
4/15/2020,Confirmed,72,22,477
4/15/2020,Probable,0,0,22
4/14/2020,Confirmed,57,23,560
4/14/2020,Probable,0,1,31
4/13/2020,Confirmed,86,25,582
4/13/2020,Probable,2,1,43
4/12/2020,Confirmed,64,20,368
4/12/2020,Probable,0,1,33
4/11/2020,Confirmed,50,14,330
4/11/2020,Probable,0,0,30
4/10/2020,Confirmed,61,20,507
4/10/2020,Probable,0,0,32
4/9/2020,Confirmed,72,13,397
4/9/2020,Probable,0,0,21
4/8/2020,Confirmed,56,11,415
4/8/2020,Probable,0,1,32
4/7/2020,Confirmed,59,14,396
4/7/2020,Probable,0,0,17
4/6/2020,Confirmed,81,16,446
4/6/2020,Probable,0,0,35
4/5/2020,Confirmed,59,10,277
4/5/2020,Probable,0,0,26
4/4/2020,Confirmed,58,8,293
4/4/2020,Probable,0,0,15
4/3/2020,Confirmed,61,11,322
4/3/2020,Probable,1,0,16
4/2/2020,Confirmed,55,9,307
4/2/2020,Probable,0,0,17
4/1/2020,Confirmed,70,10,302
4/1/2020,Probable,0,1,27
3/31/2020,Confirmed,48,10,282
3/31/2020,Probable,0,1,11
3/30/2020,Confirmed,65,6,372
3/30/2020,Probable,0,0,23
3/29/2020,Confirmed,65,7,186
3/29/2020,Probable,0,0,9
3/28/2020,Confirmed,63,8,218
3/28/2020,Probable,0,0,7
3/27/2020,Confirmed,56,9,243
3/27/2020,Probable,0,0,4
3/26/2020,Confirmed,49,4,252
3/26/2020,Probable,0,1,11
3/25/2020,Confirmed,54,4,242
3/25/2020,Probable,0,0,7
3/24/2020,Confirmed,52,3,228
3/24/2020,Probable,0,0,14
3/23/2020,Confirmed,41,1,245
3/23/2020,Probable,0,0,16
3/22/2020,Confirmed,22,4,161
3/22/2020,Probable,0,0,6
3/21/2020,Confirmed,28,4,173
3/21/2020,Probable,0,0,8
3/20/2020,Confirmed,19,1,200
3/20/2020,Probable,0,0,8
3/19/2020,Confirmed,17,0,180
3/19/2020,Probable,0,0,8
3/18/2020,Confirmed,15,0,202
3/18/2020,Probable,0,0,7
3/17/2020,Confirmed,13,0,177
3/17/2020,Probable,0,0,10
3/16/2020,Confirmed,11,0,186
3/16/2020,Probable,0,0,6
3/15/2020,Confirmed,9,1,113
3/15/2020,Probable,0,0,6
3/14/2020,Confirmed,6,1,134
3/14/2020,Probable,0,0,5
3/13/2020,Confirmed,6,0,108
3/13/2020,Probable,0,0,4
3/12/2020,Confirmed,5,0,97
3/12/2020,Probable,0,0,3
3/11/2020,Confirmed,4,0,73
3/11/2020,Probable,0,0,4
3/10/2020,Confirmed,2,0,60
3/10/2020,Probable,0,0,2
3/9/2020,Confirmed,3,0,47
3/9/2020,Probable,0,0,4
3/8/2020,Confirmed,0,0,20
3/8/2020,Probable,0,0,1
3/7/2020,Confirmed,1,0,21
3/7/2020,Probable,0,0,1
3/6/2020,Confirmed,1,0,25
3/5/2020,Confirmed,1,0,13
3/4/2020,Confirmed,0,0,19
3/3/2020,Confirmed,0,0,13
3/3/2020,Probable,0,0,1
3/2/2020,Confirmed,0,0,14
3/2/2020,Probable,0,0,2
3/1/2020,Confirmed,0,0,12
3/1/2020,Probable,0,0,2
2/29/2020,Confirmed,0,0,4
2/29/2020,Probable,0,0,1
2/28/2020,Confirmed,0,0,5
2/27/2020,Confirmed,0,0,1
2/26/2020,Confirmed,1,0,4
2/26/2020,Probable,0,0,1
2/25/2020,Probable,0,0,1
2/24/2020,Confirmed,0,0,5
2/23/2020,Confirmed,0,0,2
2/23/2020,Probable,0,0,1
2/19/2020,Confirmed,0,0,1
2/18/2020,Confirmed,1,0,2
2/17/2020,Probable,0,0,1
2/16/2020,Confirmed,0,0,1
