Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
3/23/2020,Confirmed,238,40,1
5/1/2020,Confirmed,96,8,7
4/23/2020,Probable,22,0,2
3/16/2020,Probable,4,0,0
4/10/2020,Probable,28,0,0
3/28/2020,Probable,4,0,0
3/11/2020,Probable,2,0,0
4/20/2020,Probable,40,0,1
3/22/2020,Confirmed,154,22,4
3/21/2020,Confirmed,164,27,4
3/7/2020,Confirmed,20,1,0
3/24/2020,Confirmed,225,52,3
4/23/2020,Confirmed,592,44,17
3/1/2020,Confirmed,10,0,0
3/8/2020,Confirmed,20,0,0
4/4/2020,Confirmed,271,56,8
4/22/2020,Confirmed,592,51,24
4/22/2020,Probable,32,0,0
4/25/2020,Confirmed,419,44,19
2/26/2020,Confirmed,3,1,0
3/21/2020,Probable,6,0,0
3/20/2020,Probable,3,0,0
5/2/2020,Confirmed,6,2,6
4/4/2020,Probable,14,0,0
5/1/2020,Probable,4,0,1
4/29/2020,Confirmed,526,35,14
4/11/2020,Confirmed,327,43,15
4/12/2020,Probable,32,0,0
4/30/2020,Confirmed,403,17,23
3/18/2020,Probable,6,0,0
4/18/2020,Confirmed,367,56,18
4/8/2020,Probable,32,0,0
4/21/2020,Confirmed,580,74,26
3/25/2020,Confirmed,225,53,4
3/27/2020,Confirmed,235,50,9
4/20/2020,Confirmed,665,64,16
3/17/2020,Confirmed,167,12,0
4/18/2020,Probable,14,1,0
3/19/2020,Confirmed,176,17,0
3/26/2020,Confirmed,238,47,3
4/11/2020,Probable,25,0,0
3/12/2020,Confirmed,93,5,0
4/16/2020,Probable,13,0,0
4/29/2020,Probable,7,0,0
3/12/2020,Probable,2,0,0
4/1/2020,Probable,16,0,1
4/27/2020,Confirmed,609,53,18
3/8/2020,Probable,1,0,0
3/31/2020,Confirmed,272,45,10
2/24/2020,Confirmed,2,0,0
4/13/2020,Confirmed,541,79,23
4/9/2020,Confirmed,385,70,12
4/5/2020,Probable,20,0,0
4/15/2020,Probable,17,0,0
2/27/2020,Confirmed,1,0,0
3/2/2020,Confirmed,9,0,0
4/6/2020,Confirmed,421,74,16
4/14/2020,Probable,28,1,1
4/7/2020,Probable,18,0,0
4/24/2020,Probable,35,0,1
3/25/2020,Probable,6,0,0
2/23/2020,Confirmed,2,0,0
4/10/2020,Confirmed,505,59,18
4/19/2020,Confirmed,371,45,33
3/10/2020,Confirmed,55,2,0
4/2/2020,Probable,15,0,0
3/18/2020,Confirmed,194,14,0
3/20/2020,Confirmed,197,19,1
3/15/2020,Probable,4,0,0
4/9/2020,Probable,20,0,0
3/9/2020,Probable,1,0,0
4/26/2020,Confirmed,379,35,21
3/9/2020,Confirmed,44,3,0
3/11/2020,Confirmed,70,4,0
3/6/2020,Confirmed,22,1,0
3/13/2020,Probable,4,0,0
3/14/2020,Confirmed,133,6,1
4/16/2020,Confirmed,530,60,29
2/29/2020,Confirmed,2,0,0
3/26/2020,Probable,12,0,1
3/2/2020,Probable,1,0,0
4/28/2020,Probable,16,0,0
3/29/2020,Confirmed,181,63,6
4/28/2020,Confirmed,598,44,22
4/12/2020,Confirmed,340,65,19
3/17/2020,Probable,6,0,0
2/16/2020,Confirmed,1,0,0
3/5/2020,Confirmed,13,1,0
3/28/2020,Confirmed,213,59,8
2/28/2020,Confirmed,5,0,0
2/26/2020,Probable,1,0,0
4/2/2020,Confirmed,284,49,9
3/13/2020,Confirmed,105,6,0
2/18/2020,Confirmed,1,1,0
3/19/2020,Probable,3,0,0
4/6/2020,Probable,26,0,0
3/1/2020,Probable,1,0,0
4/7/2020,Confirmed,401,56,14
3/3/2020,Confirmed,11,0,0
4/14/2020,Confirmed,552,55,23
3/29/2020,Probable,7,0,0
4/27/2020,Probable,12,0,0
2/19/2020,Confirmed,1,0,0
3/31/2020,Probable,9,0,1
3/30/2020,Probable,15,0,0
4/19/2020,Probable,23,1,0
4/25/2020,Probable,34,0,2
4/15/2020,Confirmed,434,70,21
3/22/2020,Probable,6,0,0
4/21/2020,Probable,22,2,2
3/30/2020,Confirmed,362,65,6
3/24/2020,Probable,10,0,0
3/14/2020,Probable,3,0,0
4/8/2020,Confirmed,413,48,9
4/26/2020,Probable,12,0,1
4/17/2020,Probable,27,0,1
4/24/2020,Confirmed,648,54,20
3/3/2020,Probable,1,0,0
3/4/2020,Confirmed,16,0,0
4/13/2020,Probable,35,2,1
3/15/2020,Confirmed,104,9,1
4/3/2020,Probable,15,1,0
3/16/2020,Confirmed,180,11,0
4/17/2020,Confirmed,591,54,27
4/1/2020,Confirmed,275,69,10
4/3/2020,Confirmed,310,53,10
3/10/2020,Probable,1,0,0
4/30/2020,Probable,6,0,0
4/5/2020,Confirmed,270,53,10
3/27/2020,Probable,3,0,0
3/23/2020,Probable,13,0,0
