Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
7/16/2020,Southside,509,58,31
7/16/2020,Chesapeake,1509,161,24
7/16/2020,Thomas Jefferson,1298,113,29
7/16/2020,Roanoke,617,15,10
7/16/2020,Eastern Shore,1321,114,42
7/16/2020,Mount Rogers,888,85,36
7/16/2020,Chickahominy,757,114,40
7/16/2020,New River,322,24,6
7/16/2020,Central Virginia,542,17,6
7/16/2020,Piedmont,1150,112,18
7/16/2020,Lord Fairfax,2252,199,79
7/16/2020,Crater,1790,181,50
7/16/2020,Hampton,607,42,4
7/16/2020,Alexandria,2507,253,56
7/16/2020,Fairfax,14815,1783,523
7/16/2020,Richmond,2498,249,36
7/16/2020,Arlington,2691,426,134
7/16/2020,Rappahannock Rapidan,1626,124,25
7/16/2020,Rappahannock,2749,253,46
7/16/2020,Pittsylvania-Danville,341,48,4
7/16/2020,Prince William,9941,877,185
7/16/2020,Cumberland Plateau,121,6,0
7/16/2020,Portsmouth,827,95,19
7/16/2020,Virginia Beach,2272,142,34
7/16/2020,West Piedmont,685,72,8
7/16/2020,Three Rivers,829,59,11
7/16/2020,Alleghany,689,37,15
7/16/2020,Lenowisco,99,19,5
7/16/2020,Norfolk,1888,134,19
7/16/2020,Western Tidewater,1168,103,68
7/16/2020,Henrico,2964,278,175
7/16/2020,Central Shenandoah,2358,189,46
7/16/2020,Loudoun,4557,308,101
7/16/2020,Chesterfield,3622,194,87
7/16/2020,Peninsula,1622,136,35
