Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
6/12/2020,Southside,302,44,26
6/12/2020,Chesapeake,636,99,16
6/12/2020,Thomas Jefferson,680,79,19
6/12/2020,Roanoke,232,11,10
6/12/2020,Eastern Shore,1246,92,40
6/12/2020,Mount Rogers,515,56,20
6/12/2020,Chickahominy,546,95,34
6/12/2020,New River,146,18,4
6/12/2020,Central Virginia,260,17,4
6/12/2020,Piedmont,874,68,7
6/12/2020,Lord Fairfax,1703,139,61
6/12/2020,Crater,1160,109,21
6/12/2020,Hampton,234,37,5
6/12/2020,Alexandria,2128,222,48
6/12/2020,Fairfax,12987,1482,435
6/12/2020,Richmond,1733,185,28
6/12/2020,Arlington,2307,397,125
6/12/2020,Rappahannock Rapidan,1332,99,18
6/12/2020,Rappahannock,1988,186,24
6/12/2020,Pittsylvania-Danville,122,31,3
6/12/2020,Prince William,8090,725,138
6/12/2020,Cumberland Plateau,35,2,0
6/12/2020,Portsmouth,370,56,11
6/12/2020,Virginia Beach,847,107,27
6/12/2020,West Piedmont,320,32,5
6/12/2020,Three Rivers,572,45,9
6/12/2020,Alleghany,256,26,14
6/12/2020,Lenowisco,45,16,4
6/12/2020,Norfolk,630,74,7
6/12/2020,Western Tidewater,685,77,45
6/12/2020,Henrico,2193,231,136
6/12/2020,Central Shenandoah,1756,138,32
6/12/2020,Loudoun,3280,204,70
6/12/2020,Chesterfield,2270,126,55
6/12/2020,Peninsula,731,120,33
