Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
5/4/2020,Southside,140,25,10
5/4/2020,Chesapeake,284,63,9
5/4/2020,Thomas Jefferson,319,60,13
5/4/2020,Roanoke,81,5,0
5/4/2020,Eastern Shore,564,26,7
5/4/2020,Mount Rogers,114,16,4
5/4/2020,Chickahominy,264,53,19
5/4/2020,New River,78,10,1
5/4/2020,Central Virginia,147,8,1
5/4/2020,Piedmont,248,23,3
5/4/2020,Lord Fairfax,511,42,5
5/4/2020,Crater,256,59,14
5/4/2020,Hampton,128,28,1
5/4/2020,Alexandria,940,110,26
5/4/2020,Fairfax,4684,784,204
5/4/2020,Richmond,419,72,16
5/4/2020,Arlington,1139,194,47
5/4/2020,Rappahannock Rapidan,397,32,7
5/4/2020,Rappahannock,595,96,11
5/4/2020,Pittsylvania-Danville,52,20,2
5/4/2020,Prince William,2507,266,35
5/4/2020,Cumberland Plateau,27,2,0
5/4/2020,Portsmouth,183,35,8
5/4/2020,Virginia Beach,439,83,15
5/4/2020,West Piedmont,46,6,1
5/4/2020,Three Rivers,256,23,2
5/4/2020,Alleghany,121,16,3
5/4/2020,Lenowisco,41,14,2
5/4/2020,Norfolk,239,45,4
5/4/2020,Western Tidewater,439,50,18
5/4/2020,Henrico,964,137,105
5/4/2020,Central Shenandoah,861,46,18
5/4/2020,Loudoun,961,96,18
5/4/2020,Chesterfield,673,53,30
5/4/2020,Peninsula,375,102,25
